LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	18:57:48.0291209220886230469
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	2015/03/06	
Time	18:57:48.0291209220886230469	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.002297
5.000000E-11	0.002312
1.000000E-10	0.002406
1.500000E-10	0.002430
2.000000E-10	0.002430
2.500000E-10	0.002516
3.000000E-10	0.002289
3.500000E-10	0.002492
4.000000E-10	0.002344
4.500000E-10	0.002453
5.000000E-10	0.002516
5.500000E-10	0.002539
6.000000E-10	0.002328
6.500000E-10	0.002383
7.000000E-10	0.002164
7.500000E-10	0.002242
8.000000E-10	0.002094
8.500000E-10	0.002148
9.000000E-10	0.002102
9.500000E-10	0.002305
1.000000E-9	0.002266
1.050000E-9	0.002484
1.100000E-9	0.002305
1.150000E-9	0.002305
1.200000E-9	0.002195
1.250000E-9	0.002273
1.300000E-9	0.002344
1.350000E-9	0.002594
1.400000E-9	0.002555
1.450000E-9	0.002844
1.500000E-9	0.002578
1.550000E-9	0.002523
1.600000E-9	0.002664
1.650000E-9	0.002742
1.700000E-9	0.002727
1.750000E-9	0.002859
1.800000E-9	0.002680
1.850000E-9	0.002867
1.900000E-9	0.002703
1.950000E-9	0.002688
2.000000E-9	0.002711
2.050000E-9	0.002812
2.100000E-9	0.002508
2.150000E-9	0.002781
2.200000E-9	0.002844
2.250000E-9	0.002828
2.300000E-9	0.002781
2.350000E-9	0.002961
2.400000E-9	0.002898
2.450000E-9	0.002922
2.500000E-9	0.002914
2.550000E-9	0.003234
2.600000E-9	0.003156
2.650000E-9	0.003445
2.700000E-9	0.003023
2.750000E-9	0.003289
2.800000E-9	0.003172
2.850000E-9	0.003133
2.900000E-9	0.003078
2.950000E-9	0.003023
3.000000E-9	0.003070
3.050000E-9	0.003312
3.100000E-9	0.002883
3.150000E-9	0.003227
3.200000E-9	0.003289
3.250000E-9	0.003383
3.300000E-9	0.003578
3.350000E-9	0.003586
3.400000E-9	0.003766
3.450000E-9	0.003758
3.500000E-9	0.003539
3.550000E-9	0.003633
3.600000E-9	0.003602
3.650000E-9	0.003375
3.700000E-9	0.003406
3.750000E-9	0.003672
3.800000E-9	0.003625
3.850000E-9	0.004047
3.900000E-9	0.003938
3.950000E-9	0.004086
4.000000E-9	0.004148
4.050000E-9	0.004281
4.100000E-9	0.004625
4.150000E-9	0.004727
4.200000E-9	0.004852
4.250000E-9	0.005234
4.300000E-9	0.005430
4.350000E-9	0.005859
4.400000E-9	0.006086
4.450000E-9	0.006703
4.500000E-9	0.007164
4.550000E-9	0.007844
4.600000E-9	0.008531
4.650000E-9	0.009437
4.700000E-9	0.010414
4.750000E-9	0.011586
4.800000E-9	0.012539
4.850000E-9	0.013930
4.900000E-9	0.015586
4.950000E-9	0.017227
5.000000E-9	0.018820
5.050000E-9	0.020820
5.100000E-9	0.022664
5.150000E-9	0.024828
5.200000E-9	0.026672
5.250000E-9	0.028555
5.300000E-9	0.029906
5.350000E-9	0.031266
5.400000E-9	0.032195
5.450000E-9	0.033289
5.500000E-9	0.033773
5.550000E-9	0.034289
