LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	19:47:10.7745800018310546875
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.002478
5.000000E-11	0.002381
1.000000E-10	0.002316
1.500000E-10	0.002372
2.000000E-10	0.002344
2.500000E-10	0.002422
3.000000E-10	0.002481
3.500000E-10	0.002375
4.000000E-10	0.002284
4.500000E-10	0.002325
5.000000E-10	0.002316
5.500000E-10	0.002347
6.000000E-10	0.002428
6.500000E-10	0.002381
7.000000E-10	0.002266
7.500000E-10	0.002256
8.000000E-10	0.002225
8.500000E-10	0.002241
9.000000E-10	0.002225
9.500000E-10	0.002322
1.000000E-9	0.002278
1.050000E-9	0.002247
1.100000E-9	0.002234
1.150000E-9	0.002331
1.200000E-9	0.002397
1.250000E-9	0.002594
1.300000E-9	0.002631
1.350000E-9	0.002803
1.400000E-9	0.002703
1.450000E-9	0.002763
1.500000E-9	0.002753
1.550000E-9	0.002788
1.600000E-9	0.002775
1.650000E-9	0.002709
1.700000E-9	0.002628
1.750000E-9	0.002678
1.800000E-9	0.002591
1.850000E-9	0.002700
1.900000E-9	0.002688
1.950000E-9	0.002778
2.000000E-9	0.002928
2.050000E-9	0.002950
2.100000E-9	0.002925
2.150000E-9	0.003081
2.200000E-9	0.003128
2.250000E-9	0.003159
2.300000E-9	0.003194
2.350000E-9	0.003200
2.400000E-9	0.003106
2.450000E-9	0.003159
2.500000E-9	0.003162
2.550000E-9	0.003022
2.600000E-9	0.002947
2.650000E-9	0.003047
2.700000E-9	0.003034
2.750000E-9	0.003072
2.800000E-9	0.003038
2.850000E-9	0.003081
2.900000E-9	0.003169
2.950000E-9	0.003162
3.000000E-9	0.003203
3.050000E-9	0.003306
3.100000E-9	0.003259
3.150000E-9	0.003328
3.200000E-9	0.003234
3.250000E-9	0.003209
3.300000E-9	0.003234
3.350000E-9	0.003394
3.400000E-9	0.003431
3.450000E-9	0.003438
3.500000E-9	0.003434
3.550000E-9	0.003594
3.600000E-9	0.003603
3.650000E-9	0.003584
3.700000E-9	0.003516
3.750000E-9	0.003641
3.800000E-9	0.003641
3.850000E-9	0.003678
3.900000E-9	0.003616
3.950000E-9	0.003725
4.000000E-9	0.003891
4.050000E-9	0.003962
4.100000E-9	0.004103
4.150000E-9	0.004397
4.200000E-9	0.004634
4.250000E-9	0.005009
4.300000E-9	0.005272
4.350000E-9	0.005766
4.400000E-9	0.006103
4.450000E-9	0.006716
4.500000E-9	0.007178
4.550000E-9	0.007953
4.600000E-9	0.008734
4.650000E-9	0.009609
4.700000E-9	0.010663
4.750000E-9	0.011819
4.800000E-9	0.013209
4.850000E-9	0.014775
4.900000E-9	0.016400
4.950000E-9	0.018219
5.000000E-9	0.019922
5.050000E-9	0.021838
5.100000E-9	0.023534
5.150000E-9	0.025100
5.200000E-9	0.026191
5.250000E-9	0.027225
5.300000E-9	0.027912
5.350000E-9	0.028359
5.400000E-9	0.028644
5.450000E-9	0.028747
5.500000E-9	0.028719
5.550000E-9	0.028700
5.600000E-9	0.028681
