LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	18:59:35.5502705574035644531
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.002294
5.000000E-11	0.002406
1.000000E-10	0.002478
1.500000E-10	0.002531
2.000000E-10	0.002456
2.500000E-10	0.002497
3.000000E-10	0.002397
3.500000E-10	0.002441
4.000000E-10	0.002472
4.500000E-10	0.002369
5.000000E-10	0.002231
5.500000E-10	0.002250
6.000000E-10	0.002194
6.500000E-10	0.002269
7.000000E-10	0.002275
7.500000E-10	0.002162
8.000000E-10	0.002175
8.500000E-10	0.002216
9.000000E-10	0.002213
9.500000E-10	0.002181
1.000000E-9	0.002178
1.050000E-9	0.002131
1.100000E-9	0.002150
1.150000E-9	0.002297
1.200000E-9	0.002219
1.250000E-9	0.002197
1.300000E-9	0.002222
1.350000E-9	0.002159
1.400000E-9	0.002009
1.450000E-9	0.001863
1.500000E-9	0.001741
1.550000E-9	0.001663
1.600000E-9	0.001600
1.650000E-9	0.001819
1.700000E-9	0.001766
1.750000E-9	0.001772
1.800000E-9	0.001759
1.850000E-9	0.001909
1.900000E-9	0.001928
1.950000E-9	0.002044
2.000000E-9	0.001941
2.050000E-9	0.001884
2.100000E-9	0.001816
2.150000E-9	0.001725
2.200000E-9	0.001578
2.250000E-9	0.001628
2.300000E-9	0.001516
2.350000E-9	0.001631
2.400000E-9	0.001663
2.450000E-9	0.001687
2.500000E-9	0.001684
2.550000E-9	0.001703
2.600000E-9	0.001666
2.650000E-9	0.001675
2.700000E-9	0.001781
2.750000E-9	0.001888
2.800000E-9	0.001834
2.850000E-9	0.001834
2.900000E-9	0.001772
2.950000E-9	0.001769
3.000000E-9	0.001753
3.050000E-9	0.001731
3.100000E-9	0.001747
3.150000E-9	0.001703
3.200000E-9	0.001609
3.250000E-9	0.001519
3.300000E-9	0.001491
3.350000E-9	0.001434
3.400000E-9	0.001475
3.450000E-9	0.001538
3.500000E-9	0.001513
3.550000E-9	0.001509
3.600000E-9	0.001444
3.650000E-9	0.001503
3.700000E-9	0.001528
3.750000E-9	0.001684
3.800000E-9	0.001616
3.850000E-9	0.001800
3.900000E-9	0.001763
3.950000E-9	0.001753
4.000000E-9	0.001672
4.050000E-9	0.001584
4.100000E-9	0.001463
4.150000E-9	0.001475
4.200000E-9	0.001281
4.250000E-9	0.001194
4.300000E-9	0.001034
4.350000E-9	0.001041
4.400000E-9	0.000891
4.450000E-9	0.000931
4.500000E-9	0.001041
4.550000E-9	0.000966
4.600000E-9	0.000938
4.650000E-9	0.000816
4.700000E-9	0.000578
4.750000E-9	0.000291
4.800000E-9	-0.000184
4.850000E-9	-0.000816
4.900000E-9	-0.001997
4.950000E-9	-0.003113
5.000000E-9	-0.004788
5.050000E-9	-0.006722
5.100000E-9	-0.008953
5.150000E-9	-0.011222
5.200000E-9	-0.013741
5.250000E-9	-0.016197
5.300000E-9	-0.018728
5.350000E-9	-0.021069
5.400000E-9	-0.023281
5.450000E-9	-0.025053
5.500000E-9	-0.026722
5.550000E-9	-0.027828
