LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	19:31:50.9009661674499511719
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.003097
5.000000E-11	0.003050
1.000000E-10	0.003053
1.500000E-10	0.002941
2.000000E-10	0.002963
2.500000E-10	0.002991
3.000000E-10	0.002953
3.500000E-10	0.003003
4.000000E-10	0.003078
4.500000E-10	0.003028
5.000000E-10	0.002884
5.500000E-10	0.002934
6.000000E-10	0.002850
6.500000E-10	0.003050
7.000000E-10	0.002878
7.500000E-10	0.003003
8.000000E-10	0.003038
8.500000E-10	0.003059
9.000000E-10	0.003056
9.500000E-10	0.003028
1.000000E-9	0.003028
1.050000E-9	0.003106
1.100000E-9	0.002956
1.150000E-9	0.002944
1.200000E-9	0.002872
1.250000E-9	0.002906
1.300000E-9	0.002763
1.350000E-9	0.002728
1.400000E-9	0.002713
1.450000E-9	0.002859
1.500000E-9	0.002822
1.550000E-9	0.002841
1.600000E-9	0.002775
1.650000E-9	0.002838
1.700000E-9	0.002794
1.750000E-9	0.002909
1.800000E-9	0.002931
1.850000E-9	0.002903
1.900000E-9	0.002947
1.950000E-9	0.002969
2.000000E-9	0.002853
2.050000E-9	0.002994
2.100000E-9	0.002991
2.150000E-9	0.003003
2.200000E-9	0.002969
2.250000E-9	0.002984
2.300000E-9	0.002813
2.350000E-9	0.002844
2.400000E-9	0.002816
2.450000E-9	0.002806
2.500000E-9	0.002731
2.550000E-9	0.002700
2.600000E-9	0.002631
2.650000E-9	0.002587
2.700000E-9	0.002500
2.750000E-9	0.002512
2.800000E-9	0.002447
2.850000E-9	0.002525
2.900000E-9	0.002547
2.950000E-9	0.002569
3.000000E-9	0.002528
3.050000E-9	0.002434
3.100000E-9	0.002375
3.150000E-9	0.002394
3.200000E-9	0.002222
3.250000E-9	0.002197
3.300000E-9	0.002125
3.350000E-9	0.002003
3.400000E-9	0.001913
3.450000E-9	0.001872
3.500000E-9	0.001884
3.550000E-9	0.001866
3.600000E-9	0.001900
3.650000E-9	0.001978
3.700000E-9	0.002019
3.750000E-9	0.002028
3.800000E-9	0.001950
3.850000E-9	0.002009
3.900000E-9	0.001981
3.950000E-9	0.001878
4.000000E-9	0.001663
4.050000E-9	0.001597
4.100000E-9	0.001566
4.150000E-9	0.001609
4.200000E-9	0.001509
4.250000E-9	0.001466
4.300000E-9	0.001322
4.350000E-9	0.001397
4.400000E-9	0.001313
4.450000E-9	0.001306
4.500000E-9	0.001209
4.550000E-9	0.001131
4.600000E-9	0.000881
4.650000E-9	0.000737
4.700000E-9	0.000409
4.750000E-9	0.000100
4.800000E-9	-0.000653
4.850000E-9	-0.001500
4.900000E-9	-0.002722
4.950000E-9	-0.004216
5.000000E-9	-0.006050
5.050000E-9	-0.008075
5.100000E-9	-0.010400
5.150000E-9	-0.012919
5.200000E-9	-0.015578
5.250000E-9	-0.018131
5.300000E-9	-0.020484
5.350000E-9	-0.022666
5.400000E-9	-0.024684
5.450000E-9	-0.026234
5.500000E-9	-0.027550
5.550000E-9	-0.028488
