LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	18:17:39.8863825798034667969
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	2015/03/06	
Time	18:17:39.8863825798034667969	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.003172
5.000000E-11	0.003234
1.000000E-10	0.003375
1.500000E-10	0.003344
2.000000E-10	0.003039
2.500000E-10	0.003055
3.000000E-10	0.002836
3.500000E-10	0.002969
4.000000E-10	0.002961
4.500000E-10	0.003219
5.000000E-10	0.003266
5.500000E-10	0.003281
6.000000E-10	0.003195
6.500000E-10	0.003195
7.000000E-10	0.003141
7.500000E-10	0.003180
8.000000E-10	0.003063
8.500000E-10	0.003133
9.000000E-10	0.002961
9.500000E-10	0.003336
1.000000E-9	0.003344
1.050000E-9	0.003484
1.100000E-9	0.003391
1.150000E-9	0.003359
1.200000E-9	0.003430
1.250000E-9	0.003422
1.300000E-9	0.003547
1.350000E-9	0.003570
1.400000E-9	0.003344
1.450000E-9	0.003484
1.500000E-9	0.003508
1.550000E-9	0.003695
1.600000E-9	0.003500
1.650000E-9	0.003734
1.700000E-9	0.003555
1.750000E-9	0.003477
1.800000E-9	0.003312
1.850000E-9	0.003570
1.900000E-9	0.003867
1.950000E-9	0.003852
2.000000E-9	0.003883
2.050000E-9	0.003852
2.100000E-9	0.003898
2.150000E-9	0.004133
2.200000E-9	0.004180
2.250000E-9	0.004109
2.300000E-9	0.003961
2.350000E-9	0.003977
2.400000E-9	0.004094
2.450000E-9	0.004023
2.500000E-9	0.004016
2.550000E-9	0.004047
2.600000E-9	0.004039
2.650000E-9	0.004305
2.700000E-9	0.004359
2.750000E-9	0.004656
2.800000E-9	0.004633
2.850000E-9	0.004836
2.900000E-9	0.004789
2.950000E-9	0.004680
3.000000E-9	0.004320
3.050000E-9	0.004359
3.100000E-9	0.004063
3.150000E-9	0.004398
3.200000E-9	0.004242
3.250000E-9	0.004367
3.300000E-9	0.004438
3.350000E-9	0.004859
3.400000E-9	0.004727
3.450000E-9	0.004992
3.500000E-9	0.005047
3.550000E-9	0.005172
3.600000E-9	0.004891
3.650000E-9	0.004906
3.700000E-9	0.004867
3.750000E-9	0.005133
3.800000E-9	0.005055
3.850000E-9	0.005484
3.900000E-9	0.005516
3.950000E-9	0.005641
4.000000E-9	0.006000
4.050000E-9	0.006430
4.100000E-9	0.006500
4.150000E-9	0.007016
4.200000E-9	0.007023
4.250000E-9	0.007398
4.300000E-9	0.007648
4.350000E-9	0.008398
4.400000E-9	0.008914
4.450000E-9	0.009875
4.500000E-9	0.010805
4.550000E-9	0.011891
4.600000E-9	0.013227
4.650000E-9	0.014984
4.700000E-9	0.016398
4.750000E-9	0.018094
4.800000E-9	0.019727
4.850000E-9	0.021484
4.900000E-9	0.022984
4.950000E-9	0.025000
5.000000E-9	0.026781
5.050000E-9	0.029117
5.100000E-9	0.031117
5.150000E-9	0.033867
5.200000E-9	0.036414
5.250000E-9	0.039148
5.300000E-9	0.041555
5.350000E-9	0.044156
5.400000E-9	0.046305
5.450000E-9	0.048547
5.500000E-9	0.050156
5.550000E-9	0.051367
