LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	17:26:38.9453067779541015625
***End_of_Header***	
	
Channels	1	
Samples	1000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.002516
5.000000E-11	0.002528
1.000000E-10	0.002478
1.500000E-10	0.002541
2.000000E-10	0.002509
2.500000E-10	0.002547
3.000000E-10	0.002466
3.500000E-10	0.002534
4.000000E-10	0.002531
4.500000E-10	0.002434
5.000000E-10	0.002494
5.500000E-10	0.002550
6.000000E-10	0.002509
6.500000E-10	0.002684
7.000000E-10	0.002606
7.500000E-10	0.002681
8.000000E-10	0.002706
8.500000E-10	0.002622
9.000000E-10	0.002716
9.500000E-10	0.002794
1.000000E-9	0.002878
1.050000E-9	0.002903
1.100000E-9	0.002772
1.150000E-9	0.002847
1.200000E-9	0.002819
1.250000E-9	0.002916
1.300000E-9	0.002966
1.350000E-9	0.003034
1.400000E-9	0.003003
1.450000E-9	0.002984
1.500000E-9	0.003034
1.550000E-9	0.003063
1.600000E-9	0.003034
1.650000E-9	0.003091
1.700000E-9	0.003072
1.750000E-9	0.003041
1.800000E-9	0.003103
1.850000E-9	0.003097
1.900000E-9	0.003003
1.950000E-9	0.003100
2.000000E-9	0.003000
2.050000E-9	0.002941
2.100000E-9	0.002850
2.150000E-9	0.002853
2.200000E-9	0.002841
2.250000E-9	0.002847
2.300000E-9	0.002875
2.350000E-9	0.002916
2.400000E-9	0.002972
2.450000E-9	0.003119
2.500000E-9	0.003066
2.550000E-9	0.003069
2.600000E-9	0.003038
2.650000E-9	0.003041
2.700000E-9	0.003084
2.750000E-9	0.003041
2.800000E-9	0.003078
2.850000E-9	0.003188
2.900000E-9	0.003350
2.950000E-9	0.003531
3.000000E-9	0.003659
3.050000E-9	0.003925
3.100000E-9	0.004081
3.150000E-9	0.004478
3.200000E-9	0.004806
3.250000E-9	0.005075
3.300000E-9	0.005444
3.350000E-9	0.006053
3.400000E-9	0.006631
3.450000E-9	0.007334
3.500000E-9	0.008294
3.550000E-9	0.009262
3.600000E-9	0.010319
3.650000E-9	0.011484
3.700000E-9	0.012603
3.750000E-9	0.013631
3.800000E-9	0.014634
3.850000E-9	0.015575
3.900000E-9	0.016506
3.950000E-9	0.017278
4.000000E-9	0.018109
4.050000E-9	0.018931
4.100000E-9	0.019813
4.150000E-9	0.020891
4.200000E-9	0.021956
4.250000E-9	0.023047
4.300000E-9	0.024113
4.350000E-9	0.024834
4.400000E-9	0.025372
4.450000E-9	0.025472
4.500000E-9	0.025019
4.550000E-9	0.024153
4.600000E-9	0.022784
4.650000E-9	0.021175
4.700000E-9	0.019422
4.750000E-9	0.017541
4.800000E-9	0.015931
4.850000E-9	0.014725
4.900000E-9	0.013866
4.950000E-9	0.013437
5.000000E-9	0.013394
5.050000E-9	0.013663
5.100000E-9	0.014003
5.150000E-9	0.014384
5.200000E-9	0.014547
5.250000E-9	0.014338
5.300000E-9	0.013731
5.350000E-9	0.012866
5.400000E-9	0.011775
5.450000E-9	0.010525
5.500000E-9	0.009409
5.550000E-9	0.008325
5.600000E-9	0.007641
