LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	16:39:53.4608426094055175781
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.002325
5.000000E-11	0.002359
1.000000E-10	0.002313
1.500000E-10	0.002356
2.000000E-10	0.002331
2.500000E-10	0.002334
3.000000E-10	0.002456
3.500000E-10	0.002447
4.000000E-10	0.002447
4.500000E-10	0.002503
5.000000E-10	0.002534
5.500000E-10	0.002556
6.000000E-10	0.002544
6.500000E-10	0.002556
7.000000E-10	0.002488
7.500000E-10	0.002509
8.000000E-10	0.002581
8.500000E-10	0.002484
9.000000E-10	0.002391
9.500000E-10	0.002428
1.000000E-9	0.002375
1.050000E-9	0.002391
1.100000E-9	0.002375
1.150000E-9	0.002344
1.200000E-9	0.002437
1.250000E-9	0.002437
1.300000E-9	0.002459
1.350000E-9	0.002441
1.400000E-9	0.002434
1.450000E-9	0.002453
1.500000E-9	0.002409
1.550000E-9	0.002441
1.600000E-9	0.002369
1.650000E-9	0.002303
1.700000E-9	0.002272
1.750000E-9	0.002213
1.800000E-9	0.002203
1.850000E-9	0.002209
1.900000E-9	0.002184
1.950000E-9	0.002247
2.000000E-9	0.002188
2.050000E-9	0.002278
2.100000E-9	0.002294
2.150000E-9	0.002281
2.200000E-9	0.002241
2.250000E-9	0.002244
2.300000E-9	0.002288
2.350000E-9	0.002300
2.400000E-9	0.002244
2.450000E-9	0.002237
2.500000E-9	0.002291
2.550000E-9	0.002378
2.600000E-9	0.002334
2.650000E-9	0.002478
2.700000E-9	0.002437
2.750000E-9	0.002428
2.800000E-9	0.002425
2.850000E-9	0.002472
2.900000E-9	0.002400
2.950000E-9	0.002509
3.000000E-9	0.002597
3.050000E-9	0.002600
3.100000E-9	0.002731
3.150000E-9	0.002813
3.200000E-9	0.002819
3.250000E-9	0.002838
3.300000E-9	0.002869
3.350000E-9	0.002806
3.400000E-9	0.002706
3.450000E-9	0.002603
3.500000E-9	0.002441
3.550000E-9	0.002359
3.600000E-9	0.002209
3.650000E-9	0.002219
3.700000E-9	0.002284
3.750000E-9	0.002422
3.800000E-9	0.002531
3.850000E-9	0.002534
3.900000E-9	0.002528
3.950000E-9	0.002653
4.000000E-9	0.002584
4.050000E-9	0.002681
4.100000E-9	0.002563
4.150000E-9	0.002453
4.200000E-9	0.002294
4.250000E-9	0.002144
4.300000E-9	0.002056
4.350000E-9	0.002022
4.400000E-9	0.002034
4.450000E-9	0.001997
4.500000E-9	0.001981
4.550000E-9	0.002000
4.600000E-9	0.002075
4.650000E-9	0.002053
4.700000E-9	0.001984
4.750000E-9	0.002069
4.800000E-9	0.002028
4.850000E-9	0.001934
4.900000E-9	0.001897
4.950000E-9	0.001869
5.000000E-9	0.001863
5.050000E-9	0.001875
5.100000E-9	0.001878
5.150000E-9	0.001909
5.200000E-9	0.001891
5.250000E-9	0.002000
5.300000E-9	0.002087
5.350000E-9	0.002169
5.400000E-9	0.002100
5.450000E-9	0.002222
5.500000E-9	0.002178
5.550000E-9	0.002250
5.600000E-9	0.002328
