LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	16:27:13.1953577995300292969
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
1.140000E-8	0.009194
1.145000E-8	0.009388
1.150000E-8	0.009350
1.155000E-8	0.009103
1.160000E-8	0.008537
1.165000E-8	0.007734
1.170000E-8	0.006947
1.175000E-8	0.006141
1.180000E-8	0.005194
1.185000E-8	0.004431
1.190000E-8	0.003881
1.195000E-8	0.003550
1.200000E-8	0.003531
1.205000E-8	0.003616
1.210000E-8	0.003988
1.215000E-8	0.004550
1.220000E-8	0.005231
1.225000E-8	0.005922
1.230000E-8	0.006534
1.235000E-8	0.006913
1.240000E-8	0.007272
1.245000E-8	0.007359
1.250000E-8	0.007200
1.255000E-8	0.006953
1.260000E-8	0.006384
1.265000E-8	0.005788
1.270000E-8	0.004978
1.275000E-8	0.004209
1.280000E-8	0.003469
1.285000E-8	0.002813
1.290000E-8	0.002391
1.295000E-8	0.002241
1.300000E-8	0.002116
1.305000E-8	0.002269
1.310000E-8	0.002675
1.315000E-8	0.003275
1.320000E-8	0.003894
1.325000E-8	0.004672
1.330000E-8	0.005188
1.335000E-8	0.005781
1.340000E-8	0.006144
1.345000E-8	0.006306
1.350000E-8	0.006322
1.355000E-8	0.006047
1.360000E-8	0.005556
1.365000E-8	0.004853
1.370000E-8	0.004244
1.375000E-8	0.003428
1.380000E-8	0.002719
1.385000E-8	0.002056
1.390000E-8	0.001738
1.395000E-8	0.001503
1.400000E-8	0.001413
1.405000E-8	0.001738
1.410000E-8	0.002147
1.415000E-8	0.002622
1.420000E-8	0.003294
1.425000E-8	0.004197
1.430000E-8	0.004888
1.435000E-8	0.005444
1.440000E-8	0.005900
1.445000E-8	0.006041
1.450000E-8	0.005956
1.455000E-8	0.005609
1.460000E-8	0.004988
1.465000E-8	0.004091
1.470000E-8	0.003309
1.475000E-8	0.002469
1.480000E-8	0.001644
1.485000E-8	0.001006
1.490000E-8	0.000650
1.495000E-8	0.000356
1.500000E-8	0.000644
1.505000E-8	0.001069
1.510000E-8	0.001603
1.515000E-8	0.002291
1.520000E-8	0.003091
1.525000E-8	0.003878
1.530000E-8	0.004687
1.535000E-8	0.005047
1.540000E-8	0.005306
1.545000E-8	0.005369
1.550000E-8	0.005128
1.555000E-8	0.004691
1.560000E-8	0.004028
1.565000E-8	0.003284
1.570000E-8	0.002541
1.575000E-8	0.001784
1.580000E-8	0.001009
1.585000E-8	0.000663
1.590000E-8	0.000394
1.595000E-8	0.000475
1.600000E-8	0.000663
1.605000E-8	0.001259
1.610000E-8	0.001950
1.615000E-8	0.002794
1.620000E-8	0.003566
1.625000E-8	0.004334
1.630000E-8	0.005050
1.635000E-8	0.005506
1.640000E-8	0.005634
1.645000E-8	0.005469
1.650000E-8	0.005088
1.655000E-8	0.004497
1.660000E-8	0.003600
1.665000E-8	0.002753
1.670000E-8	0.001966
1.675000E-8	0.001050
1.680000E-8	0.000363
1.685000E-8	6.250000E-5
1.690000E-8	2.812500E-5
1.695000E-8	0.000228
1.700000E-8	0.000816
1.705000E-8	0.001631
1.710000E-8	0.002378
1.715000E-8	0.003244
1.720000E-8	0.003988
1.725000E-8	0.004650
1.730000E-8	0.005038
1.735000E-8	0.005219
1.740000E-8	0.005025
1.745000E-8	0.004678
1.750000E-8	0.004206
1.755000E-8	0.003494
1.760000E-8	0.002613
1.765000E-8	0.001822
1.770000E-8	0.001097
1.775000E-8	0.000563
1.780000E-8	0.000287
1.785000E-8	0.000103
1.790000E-8	0.000341
1.795000E-8	0.000809
1.800000E-8	0.001444
1.805000E-8	0.002203
1.810000E-8	0.002922
1.815000E-8	0.003578
1.820000E-8	0.004294
1.825000E-8	0.004734
1.830000E-8	0.004884
1.835000E-8	0.004903
1.840000E-8	0.004650
1.845000E-8	0.004219
1.850000E-8	0.003488
1.855000E-8	0.002844
1.860000E-8	0.002038
1.865000E-8	0.001359
1.870000E-8	0.000819
1.875000E-8	0.000516
1.880000E-8	0.000488
1.885000E-8	0.000431
1.890000E-8	0.000691
1.895000E-8	0.001100
1.900000E-8	0.001678
1.905000E-8	0.002319
1.910000E-8	0.002988
1.915000E-8	0.003544
1.920000E-8	0.004059
1.925000E-8	0.004488
1.930000E-8	0.004644
1.935000E-8	0.004653
1.940000E-8	0.004444
1.945000E-8	0.004028
1.950000E-8	0.003394
1.955000E-8	0.002900
1.960000E-8	0.002231
1.965000E-8	0.001578
1.970000E-8	0.001097
1.975000E-8	0.000838
1.980000E-8	0.000622
1.985000E-8	0.000675
1.990000E-8	0.000978
1.995000E-8	0.001362
2.000000E-8	0.001884
2.005000E-8	0.002547
2.010000E-8	0.003147
2.015000E-8	0.003647
2.020000E-8	0.004091
2.025000E-8	0.004328
2.030000E-8	0.004350
2.035000E-8	0.004244
2.040000E-8	0.003906
2.045000E-8	0.003516
2.050000E-8	0.002891
2.055000E-8	0.002188
2.060000E-8	0.001550
2.065000E-8	0.000997
2.070000E-8	0.000534
2.075000E-8	0.000281
2.080000E-8	0.000163
2.085000E-8	0.000250
2.090000E-8	0.000666
2.095000E-8	0.001203
2.100000E-8	0.001772
2.105000E-8	0.002278
2.110000E-8	0.002963
2.115000E-8	0.003491
2.120000E-8	0.003825
2.125000E-8	0.004109
2.130000E-8	0.004078
2.135000E-8	0.003784
2.140000E-8	0.003328
2.145000E-8	0.002888
2.150000E-8	0.002350
2.155000E-8	0.001716
2.160000E-8	0.001075
2.165000E-8	0.000616
2.170000E-8	0.000363
2.175000E-8	0.000175
2.180000E-8	0.000309
2.185000E-8	0.000619
2.190000E-8	0.001228
2.195000E-8	0.001650
2.200000E-8	0.002300
2.205000E-8	0.002981
2.210000E-8	0.003519
2.215000E-8	0.004013
2.220000E-8	0.004209
2.225000E-8	0.004350
2.230000E-8	0.004288
2.235000E-8	0.003994
2.240000E-8	0.003603
2.245000E-8	0.003047
2.250000E-8	0.002538
2.255000E-8	0.001859
2.260000E-8	0.001300
2.265000E-8	0.000869
2.270000E-8	0.000453
2.275000E-8	0.000209
2.280000E-8	0.000341
2.285000E-8	0.000622
2.290000E-8	0.001047
2.295000E-8	0.001738
2.300000E-8	0.002409
2.305000E-8	0.003072
2.310000E-8	0.003669
2.315000E-8	0.004122
2.320000E-8	0.004397
2.325000E-8	0.004419
2.330000E-8	0.004225
2.335000E-8	0.003894
2.340000E-8	0.003231
2.345000E-8	0.002506
2.350000E-8	0.001778
2.355000E-8	0.001106
2.360000E-8	0.000584
2.365000E-8	0.000241
2.370000E-8	0.000000
2.375000E-8	9.062500E-5
2.380000E-8	0.000472
2.385000E-8	0.000891
2.390000E-8	0.001494
2.395000E-8	0.002169
2.400000E-8	0.002863
2.405000E-8	0.003522
2.410000E-8	0.003856
2.415000E-8	0.003978
2.420000E-8	0.004091
2.425000E-8	0.004022
2.430000E-8	0.003584
2.435000E-8	0.003009
2.440000E-8	0.002328
2.445000E-8	0.001697
2.450000E-8	0.001084
2.455000E-8	0.000556
2.460000E-8	0.000313
2.465000E-8	0.000178
2.470000E-8	0.000297
2.475000E-8	0.000481
2.480000E-8	0.000941
2.485000E-8	0.001469
2.490000E-8	0.002028
2.495000E-8	0.002634
2.500000E-8	0.003253
2.505000E-8	0.003753
2.510000E-8	0.003994
2.515000E-8	0.004119
2.520000E-8	0.003972
2.525000E-8	0.003803
2.530000E-8	0.003359
2.535000E-8	0.002866
2.540000E-8	0.002344
2.545000E-8	0.001759
2.550000E-8	0.001187
2.555000E-8	0.000753
2.560000E-8	0.000416
2.565000E-8	0.000322
2.570000E-8	0.000416
2.575000E-8	0.000631
2.580000E-8	0.001047
2.585000E-8	0.001606
2.590000E-8	0.002194
2.595000E-8	0.002669
2.600000E-8	0.003166
2.605000E-8	0.003459
2.610000E-8	0.003644
2.615000E-8	0.003709
2.620000E-8	0.003659
2.625000E-8	0.003334
2.630000E-8	0.002878
2.635000E-8	0.002259
2.640000E-8	0.001713
2.645000E-8	0.001187
2.650000E-8	0.000691
2.655000E-8	0.000313
2.660000E-8	0.000200
2.665000E-8	0.000147
2.670000E-8	0.000397
2.675000E-8	0.000963
2.680000E-8	0.001375
2.685000E-8	0.001959
2.690000E-8	0.002503
2.695000E-8	0.003025
2.700000E-8	0.003453
2.705000E-8	0.003709
2.710000E-8	0.003794
2.715000E-8	0.003778
2.720000E-8	0.003441
2.725000E-8	0.003075
2.730000E-8	0.002622
2.735000E-8	0.002087
2.740000E-8	0.001503
2.745000E-8	0.000966
2.750000E-8	0.000653
2.755000E-8	0.000456
2.760000E-8	0.000409
2.765000E-8	0.000537
2.770000E-8	0.000841
2.775000E-8	0.001256
2.780000E-8	0.001778
2.785000E-8	0.002316
2.790000E-8	0.002884
2.795000E-8	0.003359
2.800000E-8	0.003681
2.805000E-8	0.003966
2.810000E-8	0.003984
2.815000E-8	0.003856
2.820000E-8	0.003606
2.825000E-8	0.003178
2.830000E-8	0.002622
2.835000E-8	0.002075
2.840000E-8	0.001466
2.845000E-8	0.001103
2.850000E-8	0.000697
2.855000E-8	0.000581
2.860000E-8	0.000484
2.865000E-8	0.000700
2.870000E-8	0.001034
2.875000E-8	0.001581
2.880000E-8	0.002016
2.885000E-8	0.002600
2.890000E-8	0.002991
2.895000E-8	0.003450
2.900000E-8	0.003781
2.905000E-8	0.003891
2.910000E-8	0.003784
2.915000E-8	0.003600
2.920000E-8	0.003288
2.925000E-8	0.002825
2.930000E-8	0.002297
2.935000E-8	0.001653
2.940000E-8	0.001216
2.945000E-8	0.000866
2.950000E-8	0.000544
2.955000E-8	0.000469
2.960000E-8	0.000525
2.965000E-8	0.000756
2.970000E-8	0.001009
2.975000E-8	0.001513
2.980000E-8	0.001972
2.985000E-8	0.002544
2.990000E-8	0.003056
2.995000E-8	0.003425
3.000000E-8	0.003650
3.005000E-8	0.003709
3.010000E-8	0.003616
3.015000E-8	0.003413
3.020000E-8	0.003153
3.025000E-8	0.002634
3.030000E-8	0.002072
3.035000E-8	0.001525
3.040000E-8	0.001128
3.045000E-8	0.000753
3.050000E-8	0.000631
3.055000E-8	0.000609
3.060000E-8	0.000728
3.065000E-8	0.001066
3.070000E-8	0.001456
3.075000E-8	0.001956
3.080000E-8	0.002406
3.085000E-8	0.003050
3.090000E-8	0.003469
3.095000E-8	0.003856
3.100000E-8	0.003994
3.105000E-8	0.003994
3.110000E-8	0.003794
3.115000E-8	0.003459
3.120000E-8	0.003081
3.125000E-8	0.002700
3.130000E-8	0.002172
3.135000E-8	0.001622
3.140000E-8	0.001266
3.145000E-8	0.001031
3.150000E-8	0.000866
3.155000E-8	0.000859
3.160000E-8	0.001181
3.165000E-8	0.001606
3.170000E-8	0.002009
3.175000E-8	0.002506
3.180000E-8	0.002931
3.185000E-8	0.003272
3.190000E-8	0.003569
3.195000E-8	0.003772
3.200000E-8	0.003775
3.205000E-8	0.003650
3.210000E-8	0.003356
3.215000E-8	0.003034
3.220000E-8	0.002472
3.225000E-8	0.001934
3.230000E-8	0.001381
3.235000E-8	0.001078
3.240000E-8	0.000797
3.245000E-8	0.000703
3.250000E-8	0.000753
3.255000E-8	0.000813
3.260000E-8	0.001159
3.265000E-8	0.001509
3.270000E-8	0.002056
3.275000E-8	0.002494
3.280000E-8	0.002906
3.285000E-8	0.003253
3.290000E-8	0.003469
3.295000E-8	0.003453
3.300000E-8	0.003434
3.305000E-8	0.003297
3.310000E-8	0.002853
3.315000E-8	0.002563
3.320000E-8	0.002113
3.325000E-8	0.001687
3.330000E-8	0.001181
3.335000E-8	0.000963
3.340000E-8	0.000713
3.345000E-8	0.000541
3.350000E-8	0.000612
3.355000E-8	0.000869
3.360000E-8	0.001125
3.365000E-8	0.001494
3.370000E-8	0.001884
3.375000E-8	0.002263
3.380000E-8	0.002512
3.385000E-8	0.002831
3.390000E-8	0.003053
3.395000E-8	0.003072
3.400000E-8	0.002972
3.405000E-8	0.002750
3.410000E-8	0.002484
3.415000E-8	0.002103
3.420000E-8	0.001719
3.425000E-8	0.001359
3.430000E-8	0.001075
3.435000E-8	0.000934
3.440000E-8	0.000847
3.445000E-8	0.000859
3.450000E-8	0.000950
3.455000E-8	0.001122
3.460000E-8	0.001625
3.465000E-8	0.002031
3.470000E-8	0.002353
3.475000E-8	0.002706
3.480000E-8	0.003119
3.485000E-8	0.003366
3.490000E-8	0.003528
3.495000E-8	0.003397
3.500000E-8	0.003253
3.505000E-8	0.003041
3.510000E-8	0.002591
3.515000E-8	0.002231
3.520000E-8	0.001772
3.525000E-8	0.001425
3.530000E-8	0.001134
3.535000E-8	0.000994
3.540000E-8	0.000906
3.545000E-8	0.000944
3.550000E-8	0.001191
3.555000E-8	0.001459
3.560000E-8	0.001878
3.565000E-8	0.002228
3.570000E-8	0.002491
3.575000E-8	0.002894
3.580000E-8	0.003122
3.585000E-8	0.003184
3.590000E-8	0.003328
3.595000E-8	0.003213
3.600000E-8	0.002809
3.605000E-8	0.002541
3.610000E-8	0.002131
3.615000E-8	0.001759
3.620000E-8	0.001428
3.625000E-8	0.001184
3.630000E-8	0.000894
3.635000E-8	0.000800
3.640000E-8	0.000838
3.645000E-8	0.000944
3.650000E-8	0.001241
3.655000E-8	0.001550
3.660000E-8	0.001922
3.665000E-8	0.002316
3.670000E-8	0.002675
3.675000E-8	0.002969
3.680000E-8	0.003225
3.685000E-8	0.003431
3.690000E-8	0.003288
3.695000E-8	0.003216
3.700000E-8	0.002988
3.705000E-8	0.002650
3.710000E-8	0.002266
3.715000E-8	0.001959
3.720000E-8	0.001541
3.725000E-8	0.001203
3.730000E-8	0.000941
3.735000E-8	0.000928
3.740000E-8	0.000966
3.745000E-8	0.001238
3.750000E-8	0.001516
3.755000E-8	0.001909
3.760000E-8	0.002391
3.765000E-8	0.002791
3.770000E-8	0.003209
3.775000E-8	0.003478
3.780000E-8	0.003675
3.785000E-8	0.003522
3.790000E-8	0.003331
3.795000E-8	0.002909
3.800000E-8	0.002494
3.805000E-8	0.002075
3.810000E-8	0.001731
3.815000E-8	0.001406
3.820000E-8	0.000938
3.825000E-8	0.000728
3.830000E-8	0.000816
3.835000E-8	0.000884
3.840000E-8	0.001047
3.845000E-8	0.001491
3.850000E-8	0.001878
3.855000E-8	0.002319
3.860000E-8	0.002638
3.865000E-8	0.003022
3.870000E-8	0.003206
3.875000E-8	0.003288
3.880000E-8	0.003309
3.885000E-8	0.003059
3.890000E-8	0.002863
3.895000E-8	0.002463
3.900000E-8	0.002138
3.905000E-8	0.001713
3.910000E-8	0.001359
3.915000E-8	0.001100
3.920000E-8	0.000944
3.925000E-8	0.000853
3.930000E-8	0.000897
3.935000E-8	0.001066
3.940000E-8	0.001231
3.945000E-8	0.001522
3.950000E-8	0.001809
3.955000E-8	0.002191
3.960000E-8	0.002456
3.965000E-8	0.002703
3.970000E-8	0.002950
3.975000E-8	0.003063
3.980000E-8	0.003069
3.985000E-8	0.003056
3.990000E-8	0.002834
3.995000E-8	0.002647
4.000000E-8	0.002300
4.005000E-8	0.002087
4.010000E-8	0.001763
4.015000E-8	0.001700
4.020000E-8	0.001356
4.025000E-8	0.001322
4.030000E-8	0.001378
4.035000E-8	0.001494
4.040000E-8	0.001687
4.045000E-8	0.001859
4.050000E-8	0.002081
4.055000E-8	0.002375
4.060000E-8	0.002719
4.065000E-8	0.002869
