LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	18:21:48.6606121063232421875
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.002625
5.000000E-11	0.002691
1.000000E-10	0.002669
1.500000E-10	0.002691
2.000000E-10	0.002659
2.500000E-10	0.002763
3.000000E-10	0.002681
3.500000E-10	0.002656
4.000000E-10	0.002672
4.500000E-10	0.002653
5.000000E-10	0.002737
5.500000E-10	0.002791
6.000000E-10	0.002850
6.500000E-10	0.002934
7.000000E-10	0.002881
7.500000E-10	0.002913
8.000000E-10	0.002750
8.500000E-10	0.002703
9.000000E-10	0.002575
9.500000E-10	0.002503
1.000000E-9	0.002356
1.050000E-9	0.002328
1.100000E-9	0.002325
1.150000E-9	0.002363
1.200000E-9	0.002103
1.250000E-9	0.002175
1.300000E-9	0.002234
1.350000E-9	0.002184
1.400000E-9	0.002144
1.450000E-9	0.002200
1.500000E-9	0.002147
1.550000E-9	0.002184
1.600000E-9	0.002153
1.650000E-9	0.002209
1.700000E-9	0.002119
1.750000E-9	0.002331
1.800000E-9	0.002381
1.850000E-9	0.002419
1.900000E-9	0.002378
1.950000E-9	0.002369
2.000000E-9	0.002331
2.050000E-9	0.002288
2.100000E-9	0.002338
2.150000E-9	0.002347
2.200000E-9	0.002147
2.250000E-9	0.002056
2.300000E-9	0.001963
2.350000E-9	0.001925
2.400000E-9	0.001809
2.450000E-9	0.001969
2.500000E-9	0.001928
2.550000E-9	0.001916
2.600000E-9	0.001834
2.650000E-9	0.001916
2.700000E-9	0.001953
2.750000E-9	0.002006
2.800000E-9	0.001900
2.850000E-9	0.001916
2.900000E-9	0.001803
2.950000E-9	0.001888
3.000000E-9	0.001675
3.050000E-9	0.001709
3.100000E-9	0.001622
3.150000E-9	0.001400
3.200000E-9	0.001372
3.250000E-9	0.001303
3.300000E-9	0.001347
3.350000E-9	0.001425
3.400000E-9	0.001450
3.450000E-9	0.001563
3.500000E-9	0.001594
3.550000E-9	0.001713
3.600000E-9	0.001656
3.650000E-9	0.001713
3.700000E-9	0.001709
3.750000E-9	0.001653
3.800000E-9	0.001666
3.850000E-9	0.001628
3.900000E-9	0.001709
3.950000E-9	0.001816
4.000000E-9	0.001788
4.050000E-9	0.001841
4.100000E-9	0.001913
4.150000E-9	0.001997
4.200000E-9	0.002087
4.250000E-9	0.002309
4.300000E-9	0.002231
4.350000E-9	0.002288
4.400000E-9	0.002347
4.450000E-9	0.002322
4.500000E-9	0.002638
4.550000E-9	0.002653
4.600000E-9	0.002616
4.650000E-9	0.002550
4.700000E-9	0.002294
4.750000E-9	0.001663
4.800000E-9	0.000763
4.850000E-9	-0.000578
4.900000E-9	-0.002587
4.950000E-9	-0.004900
5.000000E-9	-0.007953
5.050000E-9	-0.011241
5.100000E-9	-0.015084
5.150000E-9	-0.018853
5.200000E-9	-0.022900
5.250000E-9	-0.026728
5.300000E-9	-0.030372
5.350000E-9	-0.033503
5.400000E-9	-0.036328
5.450000E-9	-0.038603
5.500000E-9	-0.040372
5.550000E-9	-0.041828
