LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	16:19:56.1363592147827148437
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.001822
5.000000E-11	0.001819
1.000000E-10	0.001834
1.500000E-10	0.001881
2.000000E-10	0.001919
2.500000E-10	0.001872
3.000000E-10	0.001866
3.500000E-10	0.001919
4.000000E-10	0.001925
4.500000E-10	0.001969
5.000000E-10	0.002116
5.500000E-10	0.002234
6.000000E-10	0.002134
6.500000E-10	0.002134
7.000000E-10	0.002078
7.500000E-10	0.002094
8.000000E-10	0.002025
8.500000E-10	0.002038
9.000000E-10	0.002031
9.500000E-10	0.002009
1.000000E-9	0.001944
1.050000E-9	0.002028
1.100000E-9	0.001922
1.150000E-9	0.001944
1.200000E-9	0.001759
1.250000E-9	0.001738
1.300000E-9	0.001725
1.350000E-9	0.001772
1.400000E-9	0.001638
1.450000E-9	0.001538
1.500000E-9	0.001488
1.550000E-9	0.001606
1.600000E-9	0.001731
1.650000E-9	0.001878
1.700000E-9	0.001806
1.750000E-9	0.001822
1.800000E-9	0.001884
1.850000E-9	0.002006
1.900000E-9	0.001900
1.950000E-9	0.001966
2.000000E-9	0.001934
2.050000E-9	0.001900
2.100000E-9	0.001819
2.150000E-9	0.001769
2.200000E-9	0.001756
2.250000E-9	0.001716
2.300000E-9	0.001753
2.350000E-9	0.001838
2.400000E-9	0.001847
2.450000E-9	0.001947
2.500000E-9	0.001994
2.550000E-9	0.002222
2.600000E-9	0.002122
2.650000E-9	0.002025
2.700000E-9	0.001937
2.750000E-9	0.001994
2.800000E-9	0.001772
2.850000E-9	0.001741
2.900000E-9	0.001656
2.950000E-9	0.001650
3.000000E-9	0.001687
3.050000E-9	0.001744
3.100000E-9	0.001841
3.150000E-9	0.001966
3.200000E-9	0.001847
3.250000E-9	0.002084
3.300000E-9	0.002063
3.350000E-9	0.002113
3.400000E-9	0.002134
3.450000E-9	0.002003
3.500000E-9	0.001909
3.550000E-9	0.001872
3.600000E-9	0.001844
3.650000E-9	0.001844
3.700000E-9	0.001809
3.750000E-9	0.001825
3.800000E-9	0.001856
3.850000E-9	0.001931
3.900000E-9	0.001897
3.950000E-9	0.002109
4.000000E-9	0.002131
4.050000E-9	0.002047
4.100000E-9	0.001903
4.150000E-9	0.001831
4.200000E-9	0.001719
4.250000E-9	0.001719
4.300000E-9	0.001650
4.350000E-9	0.001641
4.400000E-9	0.001538
4.450000E-9	0.001559
4.500000E-9	0.001466
4.550000E-9	0.001628
4.600000E-9	0.001691
4.650000E-9	0.001716
4.700000E-9	0.001753
4.750000E-9	0.001859
4.800000E-9	0.001881
4.850000E-9	0.001931
4.900000E-9	0.001937
4.950000E-9	0.001953
5.000000E-9	0.001828
5.050000E-9	0.001809
5.100000E-9	0.001753
5.150000E-9	0.001716
5.200000E-9	0.001644
5.250000E-9	0.001644
5.300000E-9	0.001575
5.350000E-9	0.001569
5.400000E-9	0.001559
5.450000E-9	0.001622
5.500000E-9	0.001816
5.550000E-9	0.001853
5.600000E-9	0.001809
