Study Name	Al_Orientation
Sample Name	SC_111
Run Name	10_deg
Operator	Cody
Date	6/24/2015
Time	13:20
Sign	NEG
Gratign Spacing	05.50um
Channel	3
Number Traces	5000
Files in Batch	3
Batch Number	2
dt	50.000001E-12
	
Time	Amplitude
0.000000E+0	1.249335E-4
5.000000E-11	1.260671E-4
1.000000E-10	1.287336E-4
1.500000E-10	1.303318E-4
2.000000E-10	1.263857E-4
2.500000E-10	1.080049E-4
3.000000E-10	9.057675E-5
3.500000E-10	8.958686E-5
4.000000E-10	8.585725E-5
4.500000E-10	7.235547E-5
5.000000E-10	6.571144E-5
5.500000E-10	6.014603E-5
6.000000E-10	4.531841E-5
6.500000E-10	3.165504E-5
7.000000E-10	2.763437E-5
7.500000E-10	3.390103E-5
8.000000E-10	4.583735E-5
8.500000E-10	5.196762E-5
9.000000E-10	5.289191E-5
9.500000E-10	6.181990E-5
1.000000E-9	7.834521E-5
1.050000E-9	8.840707E-5
1.100000E-9	8.338581E-5
1.150000E-9	7.478824E-5
1.200000E-9	8.190978E-5
1.250000E-9	9.439854E-5
1.300000E-9	9.378189E-5
1.350000E-9	9.050010E-5
1.400000E-9	8.733812E-5
1.450000E-9	7.537865E-5
1.500000E-9	6.850709E-5
1.550000E-9	7.314269E-5
1.600000E-9	7.327838E-5
1.650000E-9	6.966720E-5
1.700000E-9	7.098026E-5
1.750000E-9	6.671928E-5
1.800000E-9	5.160198E-5
1.850000E-9	4.023811E-5
1.900000E-9	3.716832E-5
1.950000E-9	3.277199E-5
2.000000E-9	2.816678E-5
2.050000E-9	2.486738E-5
2.100000E-9	1.543288E-5
2.150000E-9	7.337678E-6
2.200000E-9	1.101964E-5
2.250000E-9	1.406354E-5
2.300000E-9	8.806802E-6
2.350000E-9	6.289784E-6
2.400000E-9	4.497832E-6
2.450000E-9	-9.059885E-7
2.500000E-9	2.903721E-7
2.550000E-9	2.453489E-6
2.600000E-9	5.845421E-7
2.650000E-9	1.115049E-5
2.700000E-9	3.061129E-5
2.750000E-9	4.625927E-5
2.800000E-9	6.530506E-5
2.850000E-9	8.605406E-5
2.900000E-9	1.013001E-4
2.950000E-9	1.240251E-4
3.000000E-9	1.603945E-4
3.050000E-9	1.872758E-4
3.100000E-9	1.901575E-4
3.150000E-9	1.882032E-4
3.200000E-9	1.970521E-4
3.250000E-9	2.025723E-4
3.300000E-9	1.922367E-4
3.350000E-9	1.724903E-4
3.400000E-9	1.484222E-4
3.450000E-9	1.272313E-4
3.500000E-9	1.087877E-4
