Study Name	Al_Orientation
Sample Name	SC_111
Run Name	35_deg
Operator	Cody
Date	6/25/2015
Time	14:15
Sign	POS
Gratign Spacing	05.50um
Channel	3
Number Traces	5000
Files in Batch	3
Batch Number	3
dt	50.000001E-12
	
Time	Amplitude
0.000000E+0	6.513518E-5
5.000000E-11	8.609653E-5
1.000000E-10	9.050908E-5
1.500000E-10	8.168605E-5
2.000000E-10	7.245422E-5
2.500000E-10	6.885340E-5
3.000000E-10	6.783347E-5
3.500000E-10	5.735936E-5
4.000000E-10	4.141962E-5
4.500000E-10	3.473589E-5
5.000000E-10	3.422696E-5
5.500000E-10	2.757015E-5
6.000000E-10	1.345724E-5
6.500000E-10	-1.488804E-6
7.000000E-10	-6.553915E-6
7.500000E-10	4.193304E-6
8.000000E-10	1.115291E-5
8.500000E-10	4.411515E-6
9.000000E-10	1.245941E-5
9.500000E-10	3.792998E-5
1.000000E-9	4.994054E-5
1.050000E-9	5.238747E-5
1.100000E-9	6.340814E-5
1.150000E-9	6.781586E-5
1.200000E-9	6.053066E-5
1.250000E-9	6.721406E-5
1.300000E-9	8.002185E-5
1.350000E-9	6.668234E-5
1.400000E-9	4.928211E-5
1.450000E-9	5.759104E-5
1.500000E-9	6.109553E-5
1.550000E-9	4.744286E-5
1.600000E-9	4.788998E-5
1.650000E-9	5.695712E-5
1.700000E-9	5.393532E-5
1.750000E-9	4.931008E-5
1.800000E-9	5.000960E-5
1.850000E-9	5.546866E-5
1.900000E-9	6.620932E-5
1.950000E-9	6.677453E-5
2.000000E-9	5.515412E-5
2.050000E-9	5.040355E-5
2.100000E-9	4.903904E-5
2.150000E-9	4.518790E-5
2.200000E-9	4.762067E-5
2.250000E-9	4.480362E-5
2.300000E-9	3.572025E-5
2.350000E-9	3.964977E-5
2.400000E-9	4.001852E-5
2.450000E-9	2.453281E-5
2.500000E-9	2.192534E-5
2.550000E-9	2.900302E-5
2.600000E-9	1.938139E-5
2.650000E-9	9.194540E-6
2.700000E-9	1.344758E-5
2.750000E-9	1.307434E-5
2.800000E-9	5.170073E-6
2.850000E-9	2.214216E-6
2.900000E-9	-7.899778E-7
2.950000E-9	-3.627407E-6
3.000000E-9	-1.919011E-6
3.050000E-9	-4.903870E-6
3.100000E-9	-2.683438E-6
3.150000E-9	1.456729E-5
3.200000E-9	2.160631E-5
3.250000E-9	1.033531E-5
3.300000E-9	2.918222E-6
3.350000E-9	1.967694E-6
3.400000E-9	-5.721124E-7
3.450000E-9	1.024416E-6
3.500000E-9	9.408607E-7
3.550000E-9	-1.034843E-5
3.600000E-9	-1.608855E-5
3.650000E-9	-1.299389E-5
3.700000E-9	-2.150100E-5
3.750000E-9	-3.618947E-5
3.800000E-9	-4.278137E-5
3.850000E-9	-4.793936E-5
3.900000E-9	-4.904180E-5
3.950000E-9	-4.080401E-5
4.000000E-9	-4.758166E-5
4.050000E-9	-7.091190E-5
4.100000E-9	-6.491663E-5
4.150000E-9	-3.806291E-5
4.200000E-9	-4.216817E-5
4.250000E-9	-5.132128E-5
4.300000E-9	-2.847994E-5
4.350000E-9	-9.776320E-6
4.400000E-9	-6.672343E-6
4.450000E-9	5.825050E-6
4.500000E-9	1.380182E-5
4.550000E-9	1.164768E-5
4.600000E-9	2.350874E-5
4.650000E-9	4.066555E-5
4.700000E-9	4.082196E-5
4.750000E-9	3.229310E-5
4.800000E-9	2.550199E-5
4.850000E-9	1.446301E-5
4.900000E-9	-1.538523E-6
4.950000E-9	-1.366889E-5
5.000000E-9	-2.240422E-5
5.050000E-9	-3.734302E-5
5.100000E-9	-5.298790E-5
5.150000E-9	-5.408068E-5
5.200000E-9	-4.821178E-5
5.250000E-9	-5.055892E-5
5.300000E-9	-4.727092E-5
5.350000E-9	-2.338548E-5
5.400000E-9	3.406434E-6
5.450000E-9	1.489460E-5
5.500000E-9	2.376424E-5
5.550000E-9	4.362210E-5
5.600000E-9	5.442767E-5
5.650000E-9	4.443487E-5
5.700000E-9	4.337005E-5
5.750000E-9	5.402785E-5
5.800000E-9	4.336004E-5
5.850000E-9	2.368690E-5
5.900000E-9	2.073001E-5
5.950000E-9	1.481830E-5
6.000000E-9	-3.895681E-6
6.050000E-9	-2.016308E-5
6.100000E-9	-3.288766E-5
6.150000E-9	-4.349988E-5
