LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/07
Time	11:34:11.642547607421875
***End_of_Header***	
	
Channels	1	
Samples	1000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.002350
5.000000E-11	0.002378
1.000000E-10	0.002363
1.500000E-10	0.002497
2.000000E-10	0.002359
2.500000E-10	0.002350
3.000000E-10	0.002369
3.500000E-10	0.002406
4.000000E-10	0.002303
4.500000E-10	0.002444
5.000000E-10	0.002459
5.500000E-10	0.002538
6.000000E-10	0.002516
6.500000E-10	0.002603
7.000000E-10	0.002650
7.500000E-10	0.002653
8.000000E-10	0.002653
8.500000E-10	0.002766
9.000000E-10	0.002816
9.500000E-10	0.002672
1.000000E-9	0.002684
1.050000E-9	0.002688
1.100000E-9	0.002572
1.150000E-9	0.002613
1.200000E-9	0.002550
1.250000E-9	0.002563
1.300000E-9	0.002538
1.350000E-9	0.002569
1.400000E-9	0.002669
1.450000E-9	0.002616
1.500000E-9	0.002475
1.550000E-9	0.002628
1.600000E-9	0.002650
1.650000E-9	0.002700
1.700000E-9	0.002722
1.750000E-9	0.002775
1.800000E-9	0.002853
1.850000E-9	0.002925
1.900000E-9	0.002875
1.950000E-9	0.002813
2.000000E-9	0.002834
2.050000E-9	0.002894
2.100000E-9	0.002784
2.150000E-9	0.002794
2.200000E-9	0.002672
2.250000E-9	0.002706
2.300000E-9	0.002647
2.350000E-9	0.002737
2.400000E-9	0.002669
2.450000E-9	0.002781
2.500000E-9	0.002797
2.550000E-9	0.002903
2.600000E-9	0.002822
2.650000E-9	0.002975
2.700000E-9	0.002922
2.750000E-9	0.003028
2.800000E-9	0.003081
2.850000E-9	0.003222
2.900000E-9	0.003159
2.950000E-9	0.003138
3.000000E-9	0.003216
3.050000E-9	0.003331
3.100000E-9	0.003534
3.150000E-9	0.003697
3.200000E-9	0.003834
3.250000E-9	0.004138
3.300000E-9	0.004394
3.350000E-9	0.004831
3.400000E-9	0.005350
3.450000E-9	0.005950
3.500000E-9	0.006497
3.550000E-9	0.007125
3.600000E-9	0.007834
3.650000E-9	0.008703
3.700000E-9	0.009525
3.750000E-9	0.010434
3.800000E-9	0.011522
3.850000E-9	0.012656
3.900000E-9	0.013784
3.950000E-9	0.015022
4.000000E-9	0.016225
4.050000E-9	0.017356
4.100000E-9	0.018319
4.150000E-9	0.019200
4.200000E-9	0.019763
4.250000E-9	0.020013
4.300000E-9	0.019906
4.350000E-9	0.019356
4.400000E-9	0.018766
4.450000E-9	0.017703
4.500000E-9	0.016372
4.550000E-9	0.015116
4.600000E-9	0.013831
4.650000E-9	0.012613
4.700000E-9	0.011562
4.750000E-9	0.010650
4.800000E-9	0.009972
4.850000E-9	0.009550
4.900000E-9	0.009413
4.950000E-9	0.009341
5.000000E-9	0.009238
5.050000E-9	0.009300
5.100000E-9	0.009262
5.150000E-9	0.009153
5.200000E-9	0.008866
5.250000E-9	0.008537
5.300000E-9	0.007959
5.350000E-9	0.007409
5.400000E-9	0.006778
5.450000E-9	0.006263
5.500000E-9	0.005747
5.550000E-9	0.005413
5.600000E-9	0.005200
