LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/07
Time	10:42:02.3005595207214355469
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	2015/03/07	
Time	10:42:02.3005595207214355469	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.001559
5.000000E-11	0.001519
1.000000E-10	0.001606
1.500000E-10	0.001522
2.000000E-10	0.001547
2.500000E-10	0.001600
3.000000E-10	0.001531
3.500000E-10	0.001544
4.000000E-10	0.001547
4.500000E-10	0.001522
5.000000E-10	0.001534
5.500000E-10	0.001609
6.000000E-10	0.001659
6.500000E-10	0.001584
7.000000E-10	0.001741
7.500000E-10	0.001809
8.000000E-10	0.001794
8.500000E-10	0.001859
9.000000E-10	0.001875
9.500000E-10	0.001931
1.000000E-9	0.001894
1.050000E-9	0.002012
1.100000E-9	0.002028
1.150000E-9	0.002081
1.200000E-9	0.002028
1.250000E-9	0.002094
1.300000E-9	0.002084
1.350000E-9	0.002119
1.400000E-9	0.002134
1.450000E-9	0.002141
1.500000E-9	0.002125
1.550000E-9	0.002103
1.600000E-9	0.002138
1.650000E-9	0.002044
1.700000E-9	0.002072
1.750000E-9	0.001963
1.800000E-9	0.002009
1.850000E-9	0.002022
1.900000E-9	0.002091
1.950000E-9	0.002056
2.000000E-9	0.002113
2.050000E-9	0.002134
2.100000E-9	0.002153
2.150000E-9	0.002153
2.200000E-9	0.002081
2.250000E-9	0.002041
2.300000E-9	0.001866
2.350000E-9	0.001881
2.400000E-9	0.002006
2.450000E-9	0.001897
2.500000E-9	0.001931
2.550000E-9	0.001978
2.600000E-9	0.001947
2.650000E-9	0.002053
2.700000E-9	0.002144
2.750000E-9	0.002147
2.800000E-9	0.002169
2.850000E-9	0.002181
2.900000E-9	0.002341
2.950000E-9	0.002453
3.000000E-9	0.002491
3.050000E-9	0.002506
3.100000E-9	0.002509
3.150000E-9	0.002506
3.200000E-9	0.002563
3.250000E-9	0.002519
3.300000E-9	0.002437
3.350000E-9	0.002322
3.400000E-9	0.002178
3.450000E-9	0.002175
3.500000E-9	0.002188
3.550000E-9	0.002159
3.600000E-9	0.002106
3.650000E-9	0.002156
3.700000E-9	0.002159
3.750000E-9	0.002281
3.800000E-9	0.002472
3.850000E-9	0.002572
3.900000E-9	0.002622
3.950000E-9	0.002666
4.000000E-9	0.002866
4.050000E-9	0.002972
4.100000E-9	0.003081
4.150000E-9	0.003309
4.200000E-9	0.003413
4.250000E-9	0.003644
4.300000E-9	0.003881
4.350000E-9	0.004244
4.400000E-9	0.004550
4.450000E-9	0.005084
4.500000E-9	0.005522
4.550000E-9	0.006131
4.600000E-9	0.006809
4.650000E-9	0.007563
4.700000E-9	0.008269
4.750000E-9	0.009131
4.800000E-9	0.009900
4.850000E-9	0.010806
4.900000E-9	0.011797
4.950000E-9	0.012772
5.000000E-9	0.013894
5.050000E-9	0.015109
5.100000E-9	0.016359
5.150000E-9	0.017669
5.200000E-9	0.018981
5.250000E-9	0.020250
5.300000E-9	0.021497
5.350000E-9	0.022688
5.400000E-9	0.023659
5.450000E-9	0.024516
5.500000E-9	0.024781
5.550000E-9	0.024881
