LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/07
Time	11:36:35.4837751388549804688
***End_of_Header***	
	
Channels	1	
Samples	1000	
Date	2015/03/07	
Time	11:36:35.4837751388549804688	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.001171
5.000000E-11	0.001145
1.000000E-10	0.001090
1.500000E-10	0.001120
2.000000E-10	0.001096
2.500000E-10	0.001162
3.000000E-10	0.001216
3.500000E-10	0.001271
4.000000E-10	0.001357
4.500000E-10	0.001420
5.000000E-10	0.001467
5.500000E-10	0.001457
6.000000E-10	0.001451
6.500000E-10	0.001406
7.000000E-10	0.001361
7.500000E-10	0.001309
8.000000E-10	0.001318
8.500000E-10	0.001354
9.000000E-10	0.001359
9.500000E-10	0.001388
1.000000E-9	0.001398
1.050000E-9	0.001418
1.100000E-9	0.001472
1.150000E-9	0.001497
1.200000E-9	0.001491
1.250000E-9	0.001532
1.300000E-9	0.001524
1.350000E-9	0.001498
1.400000E-9	0.001487
1.450000E-9	0.001471
1.500000E-9	0.001391
1.550000E-9	0.001317
1.600000E-9	0.001286
1.650000E-9	0.001245
1.700000E-9	0.001155
1.750000E-9	0.001094
1.800000E-9	0.001079
1.850000E-9	0.001090
1.900000E-9	0.001135
1.950000E-9	0.001140
2.000000E-9	0.001135
2.050000E-9	0.001148
2.100000E-9	0.001148
2.150000E-9	0.001137
2.200000E-9	0.001122
2.250000E-9	0.001048
2.300000E-9	0.000949
2.350000E-9	0.000909
2.400000E-9	0.000895
2.450000E-9	0.000934
2.500000E-9	0.000999
2.550000E-9	0.001149
2.600000E-9	0.001227
2.650000E-9	0.001388
2.700000E-9	0.001507
2.750000E-9	0.001612
2.800000E-9	0.001713
2.850000E-9	0.001747
2.900000E-9	0.001757
2.950000E-9	0.001727
3.000000E-9	0.001669
3.050000E-9	0.001643
3.100000E-9	0.001655
3.150000E-9	0.001700
3.200000E-9	0.001816
3.250000E-9	0.001892
3.300000E-9	0.002054
3.350000E-9	0.002206
3.400000E-9	0.002376
3.450000E-9	0.002591
3.500000E-9	0.002854
3.550000E-9	0.003195
3.600000E-9	0.003545
3.650000E-9	0.003846
3.700000E-9	0.004202
3.750000E-9	0.004571
3.800000E-9	0.004878
3.850000E-9	0.005120
3.900000E-9	0.005271
3.950000E-9	0.005299
4.000000E-9	0.005133
4.050000E-9	0.004784
4.100000E-9	0.004195
4.150000E-9	0.003310
4.200000E-9	0.002173
4.250000E-9	0.000843
4.300000E-9	-0.000658
4.350000E-9	-0.002178
4.400000E-9	-0.003621
4.450000E-9	-0.004935
4.500000E-9	-0.005898
4.550000E-9	-0.006552
4.600000E-9	-0.006800
4.650000E-9	-0.006615
4.700000E-9	-0.006172
4.750000E-9	-0.005456
4.800000E-9	-0.004664
4.850000E-9	-0.003895
4.900000E-9	-0.003249
4.950000E-9	-0.002830
5.000000E-9	-0.002705
5.050000E-9	-0.002777
5.100000E-9	-0.003018
5.150000E-9	-0.003338
5.200000E-9	-0.003613
5.250000E-9	-0.003704
5.300000E-9	-0.003655
5.350000E-9	-0.003371
5.400000E-9	-0.002904
5.450000E-9	-0.002348
