LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/07
Time	11:40:29.0511341094970703125
***End_of_Header***	
	
Channels	1	
Samples	1000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.001781
5.000000E-11	0.001880
1.000000E-10	0.001922
1.500000E-10	0.001998
2.000000E-10	0.001933
2.500000E-10	0.001891
3.000000E-10	0.001870
3.500000E-10	0.001914
4.000000E-10	0.001892
4.500000E-10	0.001913
5.000000E-10	0.001963
5.500000E-10	0.002002
6.000000E-10	0.001984
6.500000E-10	0.002019
7.000000E-10	0.002014
7.500000E-10	0.001992
8.000000E-10	0.001934
8.500000E-10	0.001923
9.000000E-10	0.001838
9.500000E-10	0.001809
1.000000E-9	0.001788
1.050000E-9	0.001850
1.100000E-9	0.001852
1.150000E-9	0.001900
1.200000E-9	0.001964
1.250000E-9	0.002014
1.300000E-9	0.002055
1.350000E-9	0.002114
1.400000E-9	0.002141
1.450000E-9	0.002069
1.500000E-9	0.002105
1.550000E-9	0.002017
1.600000E-9	0.002002
1.650000E-9	0.001980
1.700000E-9	0.001961
1.750000E-9	0.001983
1.800000E-9	0.002033
1.850000E-9	0.002073
1.900000E-9	0.002070
1.950000E-9	0.002133
2.000000E-9	0.002113
2.050000E-9	0.002164
2.100000E-9	0.002133
2.150000E-9	0.002133
2.200000E-9	0.002089
2.250000E-9	0.002086
2.300000E-9	0.002033
2.350000E-9	0.002069
2.400000E-9	0.002034
2.450000E-9	0.001997
2.500000E-9	0.001931
2.550000E-9	0.002017
2.600000E-9	0.001953
2.650000E-9	0.002006
2.700000E-9	0.002025
2.750000E-9	0.002120
2.800000E-9	0.002191
2.850000E-9	0.002245
2.900000E-9	0.002278
2.950000E-9	0.002302
3.000000E-9	0.002325
3.050000E-9	0.002475
3.100000E-9	0.002497
3.150000E-9	0.002595
3.200000E-9	0.002659
3.250000E-9	0.002848
3.300000E-9	0.003103
3.350000E-9	0.003473
3.400000E-9	0.003786
3.450000E-9	0.004288
3.500000E-9	0.004844
3.550000E-9	0.005431
3.600000E-9	0.006011
3.650000E-9	0.006681
3.700000E-9	0.007248
3.750000E-9	0.007947
3.800000E-9	0.008639
3.850000E-9	0.009361
3.900000E-9	0.010048
3.950000E-9	0.010834
4.000000E-9	0.011594
4.050000E-9	0.012386
4.100000E-9	0.013161
4.150000E-9	0.013833
4.200000E-9	0.014405
4.250000E-9	0.014752
4.300000E-9	0.014898
4.350000E-9	0.014833
4.400000E-9	0.014547
4.450000E-9	0.014017
4.500000E-9	0.013327
4.550000E-9	0.012448
4.600000E-9	0.011553
4.650000E-9	0.010611
4.700000E-9	0.009705
4.750000E-9	0.008889
4.800000E-9	0.008277
4.850000E-9	0.007817
4.900000E-9	0.007516
4.950000E-9	0.007397
5.000000E-9	0.007450
5.050000E-9	0.007489
5.100000E-9	0.007542
5.150000E-9	0.007520
5.200000E-9	0.007392
5.250000E-9	0.007177
5.300000E-9	0.006819
5.350000E-9	0.006328
5.400000E-9	0.005759
5.450000E-9	0.005259
5.500000E-9	0.004831
5.550000E-9	0.004483
5.600000E-9	0.004231
