LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/07
Time	11:44:37.2853326797485351563
***End_of_Header***	
	
Channels	1	
Samples	1000	
Date	2015/03/07	
Time	11:44:37.2853326797485351563	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.001694
5.000000E-11	0.001661
1.000000E-10	0.001706
1.500000E-10	0.001783
2.000000E-10	0.001816
2.500000E-10	0.001920
3.000000E-10	0.001866
3.500000E-10	0.002028
4.000000E-10	0.001963
4.500000E-10	0.001950
5.000000E-10	0.001906
5.500000E-10	0.001800
6.000000E-10	0.001739
6.500000E-10	0.001775
7.000000E-10	0.001738
7.500000E-10	0.001816
8.000000E-10	0.001814
8.500000E-10	0.001872
9.000000E-10	0.001919
9.500000E-10	0.001981
1.000000E-9	0.001950
1.050000E-9	0.001941
1.100000E-9	0.001892
1.150000E-9	0.001820
1.200000E-9	0.001802
1.250000E-9	0.001780
1.300000E-9	0.001728
1.350000E-9	0.001750
1.400000E-9	0.001691
1.450000E-9	0.001719
1.500000E-9	0.001786
1.550000E-9	0.001844
1.600000E-9	0.001848
1.650000E-9	0.001913
1.700000E-9	0.001963
1.750000E-9	0.002080
1.800000E-9	0.002106
1.850000E-9	0.002166
1.900000E-9	0.002148
1.950000E-9	0.002162
2.000000E-9	0.002045
2.050000E-9	0.002083
2.100000E-9	0.002005
2.150000E-9	0.001900
2.200000E-9	0.001859
2.250000E-9	0.001869
2.300000E-9	0.001838
2.350000E-9	0.001855
2.400000E-9	0.001839
2.450000E-9	0.001811
2.500000E-9	0.001797
2.550000E-9	0.001756
2.600000E-9	0.001777
2.650000E-9	0.001814
2.700000E-9	0.001723
2.750000E-9	0.001716
2.800000E-9	0.001691
2.850000E-9	0.001741
2.900000E-9	0.001808
2.950000E-9	0.001861
3.000000E-9	0.001905
3.050000E-9	0.001997
3.100000E-9	0.002052
3.150000E-9	0.002116
3.200000E-9	0.002139
3.250000E-9	0.002105
3.300000E-9	0.002064
3.350000E-9	0.002017
3.400000E-9	0.002047
3.450000E-9	0.002027
3.500000E-9	0.002100
3.550000E-9	0.002198
3.600000E-9	0.002270
3.650000E-9	0.002414
3.700000E-9	0.002497
3.750000E-9	0.002495
3.800000E-9	0.002302
3.850000E-9	0.002056
3.900000E-9	0.001634
3.950000E-9	0.000994
4.000000E-9	9.218750E-5
4.050000E-9	-0.000980
4.100000E-9	-0.002259
4.150000E-9	-0.003559
4.200000E-9	-0.005095
4.250000E-9	-0.006600
4.300000E-9	-0.007881
4.350000E-9	-0.009052
4.400000E-9	-0.009881
4.450000E-9	-0.010448
4.500000E-9	-0.010542
4.550000E-9	-0.010225
4.600000E-9	-0.009630
4.650000E-9	-0.008866
4.700000E-9	-0.007963
4.750000E-9	-0.006973
4.800000E-9	-0.006247
4.850000E-9	-0.005569
4.900000E-9	-0.005228
4.950000E-9	-0.005114
5.000000E-9	-0.005184
5.050000E-9	-0.005381
5.100000E-9	-0.005564
5.150000E-9	-0.005675
5.200000E-9	-0.005622
5.250000E-9	-0.005345
5.300000E-9	-0.004958
5.350000E-9	-0.004322
5.400000E-9	-0.003552
5.450000E-9	-0.002817
