LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/07
Time	12:16:58.926387786865234375
***End_of_Header***	
	
Channels	1	
Samples	1000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.001725
5.000000E-11	0.001695
1.000000E-10	0.001673
1.500000E-10	0.001672
2.000000E-10	0.001595
2.500000E-10	0.001575
3.000000E-10	0.001488
3.500000E-10	0.001459
4.000000E-10	0.001356
4.500000E-10	0.001356
5.000000E-10	0.001375
5.500000E-10	0.001423
6.000000E-10	0.001394
6.500000E-10	0.001448
7.000000E-10	0.001436
7.500000E-10	0.001478
8.000000E-10	0.001495
8.500000E-10	0.001533
9.000000E-10	0.001514
9.500000E-10	0.001592
1.000000E-9	0.001523
1.050000E-9	0.001533
1.100000E-9	0.001556
1.150000E-9	0.001628
1.200000E-9	0.001713
1.250000E-9	0.001717
1.300000E-9	0.001811
1.350000E-9	0.001867
1.400000E-9	0.001873
1.450000E-9	0.001934
1.500000E-9	0.001936
1.550000E-9	0.001934
1.600000E-9	0.001873
1.650000E-9	0.001834
1.700000E-9	0.001825
1.750000E-9	0.001811
1.800000E-9	0.001814
1.850000E-9	0.001805
1.900000E-9	0.001842
1.950000E-9	0.001858
2.000000E-9	0.001913
2.050000E-9	0.001906
2.100000E-9	0.001888
2.150000E-9	0.001864
2.200000E-9	0.001841
2.250000E-9	0.001825
2.300000E-9	0.001814
2.350000E-9	0.001767
2.400000E-9	0.001744
2.450000E-9	0.001683
2.500000E-9	0.001678
2.550000E-9	0.001709
2.600000E-9	0.001744
2.650000E-9	0.001764
2.700000E-9	0.001869
2.750000E-9	0.001933
2.800000E-9	0.001977
2.850000E-9	0.002003
2.900000E-9	0.002006
2.950000E-9	0.002058
3.000000E-9	0.001964
3.050000E-9	0.001905
3.100000E-9	0.001853
3.150000E-9	0.001781
3.200000E-9	0.001728
3.250000E-9	0.001798
3.300000E-9	0.001841
3.350000E-9	0.001889
3.400000E-9	0.002047
3.450000E-9	0.002183
3.500000E-9	0.002284
3.550000E-9	0.002433
3.600000E-9	0.002519
3.650000E-9	0.002509
3.700000E-9	0.002427
3.750000E-9	0.002181
3.800000E-9	0.001941
3.850000E-9	0.001477
3.900000E-9	0.000969
3.950000E-9	0.000300
4.000000E-9	-0.000688
4.050000E-9	-0.001703
4.100000E-9	-0.002811
4.150000E-9	-0.004053
4.200000E-9	-0.005328
4.250000E-9	-0.006513
4.300000E-9	-0.007591
4.350000E-9	-0.008464
4.400000E-9	-0.009134
4.450000E-9	-0.009427
4.500000E-9	-0.009434
4.550000E-9	-0.009092
4.600000E-9	-0.008511
4.650000E-9	-0.007694
4.700000E-9	-0.006841
4.750000E-9	-0.006005
4.800000E-9	-0.005233
4.850000E-9	-0.004650
4.900000E-9	-0.004300
4.950000E-9	-0.004164
5.000000E-9	-0.004242
5.050000E-9	-0.004436
5.100000E-9	-0.004670
5.150000E-9	-0.004930
5.200000E-9	-0.005003
5.250000E-9	-0.004864
5.300000E-9	-0.004522
5.350000E-9	-0.004003
5.400000E-9	-0.003328
5.450000E-9	-0.002647
5.500000E-9	-0.002078
