LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/07
Time	10:51:16.1182360649108886719
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	2015/03/07	
Time	10:51:16.1182360649108886719	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.001869
5.000000E-11	0.001941
1.000000E-10	0.001931
1.500000E-10	0.001894
2.000000E-10	0.001838
2.500000E-10	0.001831
3.000000E-10	0.001800
3.500000E-10	0.001859
4.000000E-10	0.001741
4.500000E-10	0.001844
5.000000E-10	0.001850
5.500000E-10	0.001878
6.000000E-10	0.001831
6.500000E-10	0.001981
7.000000E-10	0.001984
7.500000E-10	0.002091
8.000000E-10	0.002097
8.500000E-10	0.002144
9.000000E-10	0.002228
9.500000E-10	0.002269
1.000000E-9	0.002122
1.050000E-9	0.002072
1.100000E-9	0.002003
1.150000E-9	0.002100
1.200000E-9	0.002028
1.250000E-9	0.001869
1.300000E-9	0.001806
1.350000E-9	0.001797
1.400000E-9	0.001825
1.450000E-9	0.001934
1.500000E-9	0.001972
1.550000E-9	0.002025
1.600000E-9	0.001919
1.650000E-9	0.002069
1.700000E-9	0.002188
1.750000E-9	0.002219
1.800000E-9	0.002325
1.850000E-9	0.002478
1.900000E-9	0.002459
1.950000E-9	0.002475
2.000000E-9	0.002441
2.050000E-9	0.002469
2.100000E-9	0.002478
2.150000E-9	0.002366
2.200000E-9	0.002213
2.250000E-9	0.002175
2.300000E-9	0.002159
2.350000E-9	0.002206
2.400000E-9	0.002138
2.450000E-9	0.002109
2.500000E-9	0.002147
2.550000E-9	0.002231
2.600000E-9	0.002169
2.650000E-9	0.002294
2.700000E-9	0.002356
2.750000E-9	0.002494
2.800000E-9	0.002572
2.850000E-9	0.002497
2.900000E-9	0.002547
2.950000E-9	0.002597
3.000000E-9	0.002547
3.050000E-9	0.002638
3.100000E-9	0.002522
3.150000E-9	0.002628
3.200000E-9	0.002447
3.250000E-9	0.002509
3.300000E-9	0.002431
3.350000E-9	0.002428
3.400000E-9	0.002469
3.450000E-9	0.002428
3.500000E-9	0.002466
3.550000E-9	0.002491
3.600000E-9	0.002597
3.650000E-9	0.002684
3.700000E-9	0.002684
3.750000E-9	0.002784
3.800000E-9	0.002850
3.850000E-9	0.002869
3.900000E-9	0.002981
3.950000E-9	0.003078
4.000000E-9	0.003228
4.050000E-9	0.003291
4.100000E-9	0.003331
4.150000E-9	0.003531
4.200000E-9	0.003716
4.250000E-9	0.004000
4.300000E-9	0.004222
4.350000E-9	0.004516
4.400000E-9	0.004913
4.450000E-9	0.005338
4.500000E-9	0.005719
4.550000E-9	0.006291
4.600000E-9	0.006984
4.650000E-9	0.007722
4.700000E-9	0.008578
4.750000E-9	0.009591
4.800000E-9	0.010659
4.850000E-9	0.011891
4.900000E-9	0.013125
4.950000E-9	0.014291
5.000000E-9	0.015519
5.050000E-9	0.016969
5.100000E-9	0.018356
5.150000E-9	0.019756
5.200000E-9	0.021078
5.250000E-9	0.022438
5.300000E-9	0.023794
5.350000E-9	0.025019
5.400000E-9	0.025781
5.450000E-9	0.026409
5.500000E-9	0.026625
5.550000E-9	0.026622
