LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/07
Time	11:38:53.3176589012145996094
***End_of_Header***	
	
Channels	1	
Samples	1000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.001675
5.000000E-11	0.001716
1.000000E-10	0.001757
1.500000E-10	0.001748
2.000000E-10	0.001748
2.500000E-10	0.001750
3.000000E-10	0.001657
3.500000E-10	0.001608
4.000000E-10	0.001550
4.500000E-10	0.001507
5.000000E-10	0.001473
5.500000E-10	0.001530
6.000000E-10	0.001527
6.500000E-10	0.001593
7.000000E-10	0.001627
7.500000E-10	0.001649
8.000000E-10	0.001680
8.500000E-10	0.001680
9.000000E-10	0.001627
9.500000E-10	0.001572
1.000000E-9	0.001478
1.050000E-9	0.001430
1.100000E-9	0.001336
1.150000E-9	0.001285
1.200000E-9	0.001236
1.250000E-9	0.001243
1.300000E-9	0.001233
1.350000E-9	0.001245
1.400000E-9	0.001300
1.450000E-9	0.001377
1.500000E-9	0.001418
1.550000E-9	0.001527
1.600000E-9	0.001600
1.650000E-9	0.001669
1.700000E-9	0.001731
1.750000E-9	0.001764
1.800000E-9	0.001774
1.850000E-9	0.001798
1.900000E-9	0.001739
1.950000E-9	0.001727
2.000000E-9	0.001676
2.050000E-9	0.001594
2.100000E-9	0.001536
2.150000E-9	0.001520
2.200000E-9	0.001483
2.250000E-9	0.001446
2.300000E-9	0.001405
2.350000E-9	0.001366
2.400000E-9	0.001371
2.450000E-9	0.001395
2.500000E-9	0.001442
2.550000E-9	0.001497
2.600000E-9	0.001512
2.650000E-9	0.001552
2.700000E-9	0.001527
2.750000E-9	0.001518
2.800000E-9	0.001485
2.850000E-9	0.001442
2.900000E-9	0.001426
2.950000E-9	0.001442
3.000000E-9	0.001437
3.050000E-9	0.001457
3.100000E-9	0.001495
3.150000E-9	0.001591
3.200000E-9	0.001688
3.250000E-9	0.001780
3.300000E-9	0.001837
3.350000E-9	0.001856
3.400000E-9	0.001917
3.450000E-9	0.001976
3.500000E-9	0.002005
3.550000E-9	0.002102
3.600000E-9	0.002192
3.650000E-9	0.002272
3.700000E-9	0.002400
3.750000E-9	0.002512
3.800000E-9	0.002542
3.850000E-9	0.002419
3.900000E-9	0.002181
3.950000E-9	0.001791
4.000000E-9	0.001192
4.050000E-9	0.000341
4.100000E-9	-0.000713
4.150000E-9	-0.001959
4.200000E-9	-0.003313
4.250000E-9	-0.004670
4.300000E-9	-0.006073
4.350000E-9	-0.007247
4.400000E-9	-0.008194
4.450000E-9	-0.008764
4.500000E-9	-0.009006
4.550000E-9	-0.008862
4.600000E-9	-0.008416
4.650000E-9	-0.007694
4.700000E-9	-0.006839
4.750000E-9	-0.005935
4.800000E-9	-0.005079
4.850000E-9	-0.004380
4.900000E-9	-0.003931
4.950000E-9	-0.003741
5.000000E-9	-0.003836
5.050000E-9	-0.004094
5.100000E-9	-0.004446
5.150000E-9	-0.004692
5.200000E-9	-0.004836
5.250000E-9	-0.004727
5.300000E-9	-0.004383
5.350000E-9	-0.003814
5.400000E-9	-0.003172
5.450000E-9	-0.002427
5.500000E-9	-0.001705
