Study Name	Al_Orientation
Sample Name	SC_111
Run Name	30_deg
Operator	Cody
Date	6/25/2015
Time	11:32
Sign	POS
Gratign Spacing	05.50um
Channel	3
Number Traces	5000
Files in Batch	3
Batch Number	2
dt	50.000001E-12
	
Time	Amplitude
0.000000E+0	-2.392617E-5
5.000000E-11	-8.243321E-6
1.000000E-10	-2.329537E-6
1.500000E-10	-2.861252E-6
2.000000E-10	8.057221E-6
2.500000E-10	2.446376E-5
3.000000E-10	2.932067E-5
3.500000E-10	2.581100E-5
4.000000E-10	2.784775E-5
4.500000E-10	3.670738E-5
5.000000E-10	4.224482E-5
5.500000E-10	4.121074E-5
6.000000E-10	3.686655E-5
6.500000E-10	3.361618E-5
7.000000E-10	3.640630E-5
7.500000E-10	3.409196E-5
8.000000E-10	1.640585E-5
8.500000E-10	4.431886E-6
9.000000E-10	5.639295E-6
9.500000E-10	-4.981901E-6
1.000000E-9	-2.123169E-5
1.050000E-9	-2.266594E-5
1.100000E-9	-2.907553E-5
1.150000E-9	-4.552488E-5
1.200000E-9	-4.466033E-5
1.250000E-9	-3.322326E-5
1.300000E-9	-3.066274E-5
1.350000E-9	-3.071315E-5
1.400000E-9	-3.256587E-5
1.450000E-9	-3.353262E-5
1.500000E-9	-2.673426E-5
1.550000E-9	-2.806907E-5
1.600000E-9	-3.319080E-5
1.650000E-9	-1.763397E-5
1.700000E-9	-5.845421E-6
1.750000E-9	-1.966244E-5
1.800000E-9	-2.318868E-5
1.850000E-9	-9.321599E-6
1.900000E-9	-1.047480E-5
1.950000E-9	-1.680567E-5
2.000000E-9	-1.267659E-5
2.050000E-9	-1.768473E-5
2.100000E-9	-2.532452E-5
2.150000E-9	-1.578126E-5
2.200000E-9	-9.228376E-6
2.250000E-9	-1.808352E-5
2.300000E-9	-2.249020E-5
2.350000E-9	-2.006088E-5
2.400000E-9	-2.077351E-5
2.450000E-9	-1.816811E-5
2.500000E-9	-1.328254E-5
2.550000E-9	-1.336609E-5
2.600000E-9	-9.175205E-6
2.650000E-9	-2.784603E-6
2.700000E-9	-4.886606E-6
2.750000E-9	-2.271186E-6
2.800000E-9	1.042543E-5
2.850000E-9	1.452793E-5
2.900000E-9	1.011814E-5
2.950000E-9	7.687091E-6
3.000000E-9	-1.001283E-7
3.050000E-9	-1.007567E-5
3.100000E-9	-8.914526E-6
3.150000E-9	-5.547108E-6
3.200000E-9	-1.089776E-5
3.250000E-9	-2.108080E-5
3.300000E-9	-3.456256E-5
3.350000E-9	-4.343842E-5
3.400000E-9	-4.121212E-5
3.450000E-9	-4.484056E-5
3.500000E-9	-5.494281E-5
3.550000E-9	-5.472806E-5
3.600000E-9	-5.738525E-5
3.650000E-9	-6.390671E-5
3.700000E-9	-5.476051E-5
3.750000E-9	-4.817587E-5
3.800000E-9	-4.476425E-5
3.850000E-9	-2.037369E-5
3.900000E-9	-1.203404E-5
3.950000E-9	-3.375705E-5
4.000000E-9	-2.850411E-5
4.050000E-9	-5.334421E-6
4.100000E-9	-8.321352E-6
4.150000E-9	-8.507107E-6
4.200000E-9	4.343842E-6
4.250000E-9	-4.264084E-6
4.300000E-9	-1.872952E-5
4.350000E-9	-1.788257E-5
4.400000E-9	-1.821230E-5
4.450000E-9	-1.746652E-5
4.500000E-9	-1.316273E-5
4.550000E-9	-1.849024E-5
4.600000E-9	-2.239525E-5
4.650000E-9	-1.197949E-5
4.700000E-9	-3.668839E-6
4.750000E-9	-1.118088E-5
4.800000E-9	-1.746652E-5
4.850000E-9	-8.762607E-6
4.900000E-9	-4.116309E-6
4.950000E-9	-1.368892E-5
5.000000E-9	-1.281470E-5
5.050000E-9	6.049130E-6
5.100000E-9	1.512490E-5
5.150000E-9	7.526541E-6
5.200000E-9	5.339600E-6
5.250000E-9	1.459042E-5
5.300000E-9	2.108978E-5
5.350000E-9	1.922740E-5
5.400000E-9	1.822093E-5
5.450000E-9	2.018690E-5
5.500000E-9	1.493534E-5
5.550000E-9	2.211109E-6
5.600000E-9	-7.115669E-6
5.650000E-9	-1.246114E-5
5.700000E-9	-1.872192E-5
5.750000E-9	-2.115297E-5
5.800000E-9	-2.321734E-5
5.850000E-9	-3.249163E-5
5.900000E-9	-4.013039E-5
5.950000E-9	-4.512403E-5
6.000000E-9	-5.293818E-5
6.050000E-9	-5.821528E-5
6.100000E-9	-6.149777E-5
6.150000E-9	-6.243345E-5
6.200000E-9	-5.614056E-5
6.250000E-9	-4.972958E-5
6.300000E-9	-4.800151E-5
6.350000E-9	-4.632246E-5
6.400000E-9	-4.807954E-5
6.450000E-9	-4.944991E-5
6.500000E-9	-3.222198E-5
6.550000E-9	-9.135499E-6
6.600000E-9	-1.026591E-5
6.650000E-9	-2.055461E-5
6.700000E-9	-1.197604E-5
6.750000E-9	2.959654E-6
6.800000E-9	3.295602E-6
6.850000E-9	-4.786478E-6
6.900000E-9	-4.149110E-6
6.950000E-9	3.330129E-6
7.000000E-9	-1.779176E-6
7.050000E-9	-1.877198E-5
7.100000E-9	-2.654056E-5
7.150000E-9	-2.771068E-5
7.200000E-9	-3.710030E-5
7.250000E-9	-4.447457E-5
7.300000E-9	-3.944710E-5
7.350000E-9	-3.592672E-5
7.400000E-9	-4.273752E-5
