Study Name	Al_Orientation
Sample Name	SC_111
Run Name	20_deg
Operator	Cody
Date	6/25/2015
Time	10:00
Sign	POS
Gratign Spacing	05.50um
Channel	3
Number Traces	5000
Files in Batch	3
Batch Number	1
dt	50.000001E-12
	
Time	Amplitude
0.000000E+0	-3.473658E-5
5.000000E-11	-4.535398E-5
1.000000E-10	-4.491203E-5
1.500000E-10	-3.205176E-5
2.000000E-10	-3.310552E-5
2.500000E-10	-3.946609E-5
3.000000E-10	-2.695695E-5
3.500000E-10	-1.898398E-5
4.000000E-10	-2.519815E-5
4.500000E-10	-1.603606E-5
5.000000E-10	-1.325146E-6
5.500000E-10	-4.857949E-6
6.000000E-10	-7.188867E-6
6.500000E-10	-8.044791E-7
7.000000E-10	-1.281987E-6
7.500000E-10	2.617147E-7
8.000000E-10	1.064985E-5
8.500000E-10	1.615208E-5
9.000000E-10	1.273252E-5
9.500000E-10	8.021313E-6
1.000000E-9	8.003359E-6
1.050000E-9	8.615867E-6
1.100000E-9	5.430061E-6
1.150000E-9	2.357849E-6
1.200000E-9	-4.308279E-6
1.250000E-9	-1.711434E-5
1.300000E-9	-2.443683E-5
1.350000E-9	-2.218463E-5
1.400000E-9	-1.967314E-5
1.450000E-9	-2.028047E-5
1.500000E-9	-2.095789E-5
1.550000E-9	-1.584755E-5
1.600000E-9	-2.685165E-6
1.650000E-9	1.471195E-6
1.700000E-9	-6.853955E-6
1.750000E-9	-4.745391E-6
1.800000E-9	7.950187E-6
1.850000E-9	1.392819E-5
1.900000E-9	9.318492E-6
1.950000E-9	3.289042E-6
2.000000E-9	7.451962E-6
2.050000E-9	1.028766E-5
2.100000E-9	-4.484367E-6
2.150000E-9	-1.935722E-5
2.200000E-9	-2.084740E-5
2.250000E-9	-2.164774E-5
2.300000E-9	-2.347387E-5
2.350000E-9	-2.556172E-5
2.400000E-9	-3.009822E-5
2.450000E-9	-2.522853E-5
2.500000E-9	-1.775516E-5
2.550000E-9	-2.225679E-5
2.600000E-9	-2.339204E-5
2.650000E-9	-1.782387E-5
2.700000E-9	-2.158352E-5
2.750000E-9	-2.118473E-5
2.800000E-9	-9.017071E-6
2.850000E-9	-6.177916E-6
2.900000E-9	-3.351191E-6
2.950000E-9	7.084250E-6
3.000000E-9	2.540497E-6
3.050000E-9	7.526886E-7
3.100000E-9	1.796785E-5
3.150000E-9	1.377109E-5
3.200000E-9	-9.904415E-6
3.250000E-9	-4.018597E-6
3.300000E-9	1.162420E-5
3.350000E-9	-6.815630E-7
3.400000E-9	-9.487674E-6
3.450000E-9	-4.597615E-6
3.500000E-9	-1.304637E-5
3.550000E-9	-1.632091E-5
3.600000E-9	-3.833187E-6
3.650000E-9	-8.419064E-6
3.700000E-9	-2.474895E-5
3.750000E-9	-1.957094E-5
3.800000E-9	-6.736218E-6
