Study Name	Al_Orientation
Sample Name	SC_111
Run Name	5_deg
Operator	Cody
Date	6/24/2015
Time	12:05
Sign	NEG
Gratign Spacing	05.50um
Channel	3
Number Traces	5000
Files in Batch	3
Batch Number	2
dt	50.000001E-12
	
Time	Amplitude
0.000000E+0	5.273999E-5
5.000000E-11	6.774681E-5
1.000000E-10	6.807378E-5
1.500000E-10	6.284225E-5
2.000000E-10	7.342581E-5
2.500000E-10	8.576438E-5
3.000000E-10	7.667549E-5
3.500000E-10	5.960569E-5
4.000000E-10	5.576905E-5
4.500000E-10	6.160722E-5
5.000000E-10	6.842112E-5
5.500000E-10	7.513041E-5
6.000000E-10	7.722274E-5
6.500000E-10	7.529614E-5
7.000000E-10	8.303536E-5
7.500000E-10	9.571091E-5
8.000000E-10	8.869158E-5
8.500000E-10	6.844529E-5
9.000000E-10	6.328212E-5
9.500000E-10	6.516281E-5
1.000000E-9	5.092215E-5
1.050000E-9	3.499104E-5
1.100000E-9	3.509531E-5
1.150000E-9	3.327367E-5
1.200000E-9	1.777243E-5
1.250000E-9	4.874177E-6
1.300000E-9	5.857505E-6
1.350000E-9	1.632471E-5
1.400000E-9	2.438607E-5
1.450000E-9	1.769302E-5
1.500000E-9	3.606690E-6
1.550000E-9	7.856964E-6
1.600000E-9	2.990763E-5
1.650000E-9	3.607174E-5
1.700000E-9	2.307819E-5
1.750000E-9	2.559141E-5
1.800000E-9	4.453672E-5
1.850000E-9	5.231600E-5
1.900000E-9	5.372746E-5
1.950000E-9	6.128819E-5
2.000000E-9	6.423541E-5
2.050000E-9	5.792975E-5
2.100000E-9	4.992190E-5
2.150000E-9	4.337282E-5
2.200000E-9	4.067626E-5
2.250000E-9	4.402400E-5
2.300000E-9	4.224931E-5
2.350000E-9	3.095276E-5
2.400000E-9	2.573056E-5
2.450000E-9	2.185939E-5
2.500000E-9	7.480620E-6
2.550000E-9	3.901551E-7
2.600000E-9	4.812718E-6
2.650000E-9	-2.088538E-6
2.700000E-9	-1.681672E-5
2.750000E-9	-1.816673E-5
2.800000E-9	-1.452724E-5
2.850000E-9	-1.603710E-5
2.900000E-9	-1.018236E-5
2.950000E-9	1.153892E-6
3.000000E-9	8.480867E-6
3.050000E-9	1.597910E-5
3.100000E-9	2.258480E-5
3.150000E-9	2.882659E-5
3.200000E-9	3.693215E-5
3.250000E-9	3.900273E-5
3.300000E-9	4.165993E-5
3.350000E-9	5.538580E-5
3.400000E-9	6.404689E-5
3.450000E-9	6.182128E-5
3.500000E-9	6.700448E-5
3.550000E-9	7.509174E-5
3.600000E-9	7.024276E-5
3.650000E-9	6.104581E-5
3.700000E-9	5.365703E-5
3.750000E-9	4.293571E-5
3.800000E-9	3.844892E-5
3.850000E-9	4.398843E-5
3.900000E-9	3.941257E-5
3.950000E-9	2.572676E-5
4.000000E-9	3.154456E-5
4.050000E-9	4.572411E-5
4.100000E-9	3.428220E-5
4.150000E-9	1.875507E-5
4.200000E-9	2.554204E-5
4.250000E-9	3.069140E-5
4.300000E-9	3.015657E-5
4.350000E-9	3.964494E-5
4.400000E-9	4.179597E-5
4.450000E-9	2.990556E-5
4.500000E-9	2.462535E-5
4.550000E-9	2.979611E-5
4.600000E-9	3.382161E-5
4.650000E-9	3.358441E-5
4.700000E-9	3.122242E-5
4.750000E-9	2.685475E-5
4.800000E-9	2.367240E-5
4.850000E-9	2.446721E-5
4.900000E-9	2.383192E-5
4.950000E-9	1.811183E-5
5.000000E-9	1.176024E-5
5.050000E-9	1.814739E-6
5.100000E-9	-1.184794E-5
5.150000E-9	-1.233339E-5
5.200000E-9	-8.033742E-6
5.250000E-9	-2.328881E-5
5.300000E-9	-3.383715E-5
5.350000E-9	-1.624392E-5
5.400000E-9	-5.688668E-6
5.450000E-9	-1.934824E-5
5.500000E-9	-1.997387E-5
5.550000E-9	9.780463E-6
5.600000E-9	4.314252E-5
5.650000E-9	6.348721E-5
5.700000E-9	7.954123E-5
5.750000E-9	9.265804E-5
5.800000E-9	1.073821E-4
5.850000E-9	1.363209E-4
5.900000E-9	1.570543E-4
5.950000E-9	1.473257E-4
6.000000E-9	1.365142E-4
6.050000E-9	1.420230E-4
6.100000E-9	1.391404E-4
6.150000E-9	1.251355E-4
6.200000E-9	1.177661E-4
6.250000E-9	1.079659E-4
6.300000E-9	9.070070E-5
6.350000E-9	8.460220E-5
6.400000E-9	8.235794E-5
6.450000E-9	6.812626E-5
6.500000E-9	5.849875E-5
6.550000E-9	5.428059E-5
6.600000E-9	3.538914E-5
6.650000E-9	2.326188E-5
6.700000E-9	3.705369E-5
6.750000E-9	4.092244E-5
6.800000E-9	2.845025E-5
6.850000E-9	3.577342E-5
6.900000E-9	4.828152E-5
6.950000E-9	3.956242E-5
7.000000E-9	3.504974E-5
7.050000E-9	4.581111E-5
7.100000E-9	4.797458E-5
7.150000E-9	4.524107E-5
7.200000E-9	5.490414E-5
7.250000E-9	6.048233E-5
7.300000E-9	4.909118E-5
7.350000E-9	4.409996E-5
7.400000E-9	5.511303E-5
7.450000E-9	5.678310E-5
7.500000E-9	4.241262E-5
7.550000E-9	3.701743E-5
7.600000E-9	4.469727E-5
7.650000E-9	4.648335E-5
7.700000E-9	4.120970E-5
7.750000E-9	3.832186E-5
7.800000E-9	3.863122E-5
7.850000E-9	4.077880E-5
7.900000E-9	4.538919E-5
7.950000E-9	5.136927E-5
8.000000E-9	4.910775E-5
8.050000E-9	3.900066E-5
8.100000E-9	4.340078E-5
8.150000E-9	6.011979E-5
8.200000E-9	6.094740E-5
8.250000E-9	5.155295E-5
8.300000E-9	5.070048E-5
8.350000E-9	4.893235E-5
8.400000E-9	4.764968E-5
8.450000E-9	5.703342E-5
8.500000E-9	5.831576E-5
8.550000E-9	4.842999E-5
8.600000E-9	4.972544E-5
8.650000E-9	5.236054E-5
8.700000E-9	4.127841E-5
8.750000E-9	3.256759E-5
8.800000E-9	3.073041E-5
8.850000E-9	2.356848E-5
8.900000E-9	1.975255E-5
8.950000E-9	3.099005E-5
9.000000E-9	3.536083E-5
9.050000E-9	1.875334E-5
9.100000E-9	1.639618E-5
9.150000E-9	4.143689E-5
9.200000E-9	5.333869E-5
9.250000E-9	4.166373E-5
9.300000E-9	3.608382E-5
9.350000E-9	4.356341E-5
9.400000E-9	5.596965E-5
9.450000E-9	7.043094E-5
9.500000E-9	7.303047E-5
9.550000E-9	6.005592E-5
9.600000E-9	5.244064E-5
9.650000E-9	5.400644E-5
9.700000E-9	5.274379E-5
9.750000E-9	4.984628E-5
9.800000E-9	5.064489E-5
9.850000E-9	5.617405E-5
9.900000E-9	5.998410E-5
9.950000E-9	5.848977E-5
1.000000E-8	6.279943E-5
1.005000E-8	7.634576E-5
1.010000E-8	8.350320E-5
1.015000E-8	8.135804E-5
1.020000E-8	8.769444E-5
1.025000E-8	9.996326E-5
1.030000E-8	1.006980E-4
1.035000E-8	9.872305E-5
1.040000E-8	1.011172E-4
1.045000E-8	9.502245E-5
1.050000E-8	8.709125E-5
1.055000E-8	8.729807E-5
1.060000E-8	8.109391E-5
1.065000E-8	6.421953E-5
1.070000E-8	4.608560E-5
1.075000E-8	2.988346E-5
1.080000E-8	2.478935E-5
1.085000E-8	3.045109E-5
1.090000E-8	3.249578E-5
1.095000E-8	3.213842E-5
1.100000E-8	3.369421E-5
1.105000E-8	3.255758E-5
1.110000E-8	3.165712E-5
1.115000E-8	3.403119E-5
1.120000E-8	3.711825E-5
1.125000E-8	4.147694E-5
1.130000E-8	4.794316E-5
1.135000E-8	5.209365E-5
1.140000E-8	5.166862E-5
1.145000E-8	5.322406E-5
1.150000E-8	5.846871E-5
1.155000E-8	6.292511E-5
1.160000E-8	6.697893E-5
1.165000E-8	6.363119E-5
1.170000E-8	5.237884E-5
1.175000E-8	5.538959E-5
1.180000E-8	6.498568E-5
1.185000E-8	5.420601E-5
1.190000E-8	4.674127E-5
1.195000E-8	6.091322E-5
1.200000E-8	6.296654E-5
1.205000E-8	5.144661E-5
1.210000E-8	5.366048E-5
1.215000E-8	5.475361E-5
1.220000E-8	4.745529E-5
1.225000E-8	5.237884E-5
1.230000E-8	5.819319E-5
1.235000E-8	5.205290E-5
1.240000E-8	4.581388E-5
1.245000E-8	3.342248E-5
1.250000E-8	1.067540E-5
1.255000E-8	-2.221812E-6
1.260000E-8	-3.505181E-6
1.265000E-8	-9.667215E-6
1.270000E-8	-1.627292E-5
1.275000E-8	-1.834350E-5
1.280000E-8	-2.825655E-5
1.285000E-8	-3.893264E-5
1.290000E-8	-3.218572E-5
1.295000E-8	-1.677011E-5
1.300000E-8	-8.577197E-6
1.305000E-8	-5.434550E-6
1.310000E-8	2.332989E-6
1.315000E-8	1.822577E-5
1.320000E-8	3.402291E-5
1.325000E-8	4.438653E-5
1.330000E-8	5.572899E-5
1.335000E-8	6.232814E-5
1.340000E-8	5.927215E-5
1.345000E-8	6.339779E-5
1.350000E-8	7.132553E-5
1.355000E-8	6.367573E-5
1.360000E-8	5.085309E-5
1.365000E-8	4.766763E-5
1.370000E-8	4.859779E-5
1.375000E-8	4.759858E-5
1.380000E-8	3.921784E-5
1.385000E-8	2.356744E-5
1.390000E-8	1.924984E-5
1.395000E-8	2.900164E-5
1.400000E-8	2.921709E-5
1.405000E-8	2.118577E-5
1.410000E-8	2.788435E-5
1.415000E-8	4.387760E-5
1.420000E-8	5.232498E-5
1.425000E-8	5.956460E-5
1.430000E-8	6.797676E-5
1.435000E-8	7.195668E-5
1.440000E-8	8.139291E-5
1.445000E-8	9.159702E-5
1.450000E-8	8.765197E-5
1.455000E-8	7.880650E-5
