Study Name	Al_Orientation
Sample Name	SC_111
Run Name	25_deg
Operator	Cody
Date	6/25/2015
Time	10:44
Sign	NEG
Gratign Spacing	05.50um
Channel	3
Number Traces	5000
Files in Batch	3
Batch Number	1
dt	50.000001E-12
	
Time	Amplitude
0.000000E+0	-4.239294E-5
5.000000E-11	-6.125918E-5
1.000000E-10	-7.115738E-5
1.500000E-10	-7.257748E-5
2.000000E-10	-7.791017E-5
2.500000E-10	-7.705701E-5
3.000000E-10	-7.336849E-5
3.500000E-10	-8.365719E-5
4.000000E-10	-9.415685E-5
4.500000E-10	-9.140229E-5
5.000000E-10	-8.506072E-5
5.500000E-10	-7.793158E-5
6.000000E-10	-7.065916E-5
6.500000E-10	-6.987091E-5
7.000000E-10	-6.639991E-5
7.500000E-10	-5.105715E-5
8.000000E-10	-4.210015E-5
8.500000E-10	-5.004930E-5
9.000000E-10	-5.562541E-5
9.500000E-10	-4.414933E-5
1.000000E-9	-2.452902E-5
1.050000E-9	-1.691547E-5
1.100000E-9	-2.140950E-5
1.150000E-9	-2.157592E-5
1.200000E-9	-2.369105E-5
1.250000E-9	-3.457948E-5
1.300000E-9	-4.055507E-5
1.350000E-9	-4.021083E-5
1.400000E-9	-3.982620E-5
1.450000E-9	-3.903415E-5
1.500000E-9	-3.842959E-5
1.550000E-9	-3.611766E-5
1.600000E-9	-3.370111E-5
1.650000E-9	-3.617704E-5
1.700000E-9	-3.613112E-5
1.750000E-9	-2.577820E-5
1.800000E-9	-1.298733E-5
1.850000E-9	-5.135546E-6
1.900000E-9	-5.744602E-6
1.950000E-9	-1.324110E-5
2.000000E-9	-6.473812E-6
2.050000E-9	1.189248E-5
2.100000E-9	8.168743E-6
2.150000E-9	-6.504541E-6
2.200000E-9	-6.446191E-7
2.250000E-9	1.027006E-5
2.300000E-9	6.263888E-6
2.350000E-9	-4.798908E-6
2.400000E-9	-1.293520E-5
2.450000E-9	-1.330291E-5
2.500000E-9	-1.270628E-5
2.550000E-9	-2.185801E-5
2.600000E-9	-3.086852E-5
2.650000E-9	-2.883004E-5
2.700000E-9	-2.382397E-5
2.750000E-9	-1.943387E-5
2.800000E-9	-1.187073E-5
2.850000E-9	-1.233097E-5
2.900000E-9	-2.402181E-5
2.950000E-9	-2.312411E-5
3.000000E-9	-9.255998E-6
3.050000E-9	-1.054040E-5
3.100000E-9	-2.063472E-5
3.150000E-9	-1.762880E-5
3.200000E-9	-1.329151E-5
3.250000E-9	-1.536831E-5
3.300000E-9	-6.463800E-6
3.350000E-9	5.563335E-6
3.400000E-9	-2.368552E-6
3.450000E-9	-1.455555E-5
3.500000E-9	-9.807739E-6
3.550000E-9	-1.283714E-6
3.600000E-9	-4.766107E-6
3.650000E-9	-1.337058E-5
3.700000E-9	-1.337162E-5
3.750000E-9	-1.054627E-5
3.800000E-9	-1.389953E-5
3.850000E-9	-1.427484E-5
3.900000E-9	-1.534967E-5
3.950000E-9	-2.961312E-5
4.000000E-9	-4.238362E-5
4.050000E-9	-4.258284E-5
4.100000E-9	-4.400328E-5
4.150000E-9	-4.620023E-5
4.200000E-9	-3.982551E-5
4.250000E-9	-3.792549E-5
4.300000E-9	-4.647956E-5
4.350000E-9	-4.758200E-5
4.400000E-9	-4.117897E-5
4.450000E-9	-4.469209E-5
4.500000E-9	-4.931664E-5
4.550000E-9	-4.047324E-5
4.600000E-9	-3.415480E-5
4.650000E-9	-3.824866E-5
4.700000E-9	-3.671325E-5
4.750000E-9	-3.322050E-5
4.800000E-9	-3.316146E-5
4.850000E-9	-2.577095E-5
4.900000E-9	-2.399868E-5
4.950000E-9	-3.491923E-5
5.000000E-9	-3.432053E-5
5.050000E-9	-2.483147E-5
5.100000E-9	-2.502828E-5
5.150000E-9	-2.686546E-5
5.200000E-9	-2.660651E-5
5.250000E-9	-2.515085E-5
5.300000E-9	-1.582407E-5
5.350000E-9	-1.727144E-5
5.400000E-9	-3.427219E-5
5.450000E-9	-3.270915E-5
5.500000E-9	-2.050179E-5
5.550000E-9	-2.610345E-5
5.600000E-9	-3.028777E-5
5.650000E-9	-2.538080E-5
5.700000E-9	-2.883108E-5
5.750000E-9	-2.950988E-5
5.800000E-9	-2.187493E-5
5.850000E-9	-2.288967E-5
5.900000E-9	-2.504865E-5
5.950000E-9	-1.807730E-5
6.000000E-9	-1.569010E-5
6.050000E-9	-1.804623E-5
6.100000E-9	-1.105451E-5
6.150000E-9	1.939036E-6
6.200000E-9	3.776218E-6
6.250000E-9	-5.681073E-6
6.300000E-9	-6.995861E-6
